Username,Repository,Stars,Repo URL
Snailclimb,JavaGuide,138k,https://github.com/Snailclimb/JavaGuide
macrozheng,mall,70.5k,https://github.com/macrozheng/mall
netdata,netdata,65.4k,https://github.com/netdata/netdata
grafana,grafana,57.4k,https://github.com/grafana/grafana
strapi,strapi,56.5k,https://github.com/strapi/strapi
gogs,gogs,43k,https://github.com/gogs/gogs
nocodb,nocodb,38.1k,https://github.com/nocodb/nocodb
0voice,interview_internal_reference,35.5k,https://github.com/0voice/interview_internal_reference
pingcap,tidb,35k,https://github.com/pingcap/tidb
AobingJava,JavaFamily,34.5k,https://github.com/AobingJava/JavaFamily
metabase,metabase,34.5k,https://github.com/metabase/metabase
prisma,prisma,34.1k,https://github.com/prisma/prisma
dbeaver,dbeaver,34k,https://github.com/dbeaver/dbeaver
typeorm,typeorm,32.2k,https://github.com/typeorm/typeorm
hasura,graphql-engine,30.2k,https://github.com/hasura/graphql-engine
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
hollischuang,toBeTopJavaer,24.9k,https://github.com/hollischuang/toBeTopJavaer
getredash,redash,23.9k,https://github.com/getredash/redash
directus,directus,23.3k,https://github.com/directus/directus
YunaiV,ruoyi-vue-pro,20k,https://github.com/YunaiV/ruoyi-vue-pro
apache,shardingsphere,18.8k,https://github.com/apache/shardingsphere
matomo-org,matomo,18.2k,https://github.com/matomo-org/matomo
mindsdb,mindsdb,18.1k,https://github.com/mindsdb/mindsdb
knex,knex,18.1k,https://github.com/knex/knex
mysqljs,mysql,18k,https://github.com/mysqljs/mysql
vitessio,vitess,16.9k,https://github.com/vitessio/vitess
cube-js,cube,16.3k,https://github.com/cube-js/cube
dolthub,dolt,15.6k,https://github.com/dolthub/dolt
baomidou,mybatis-plus,15.1k,https://github.com/baomidou/mybatis-plus
YunaiV,yudao-cloud,14.1k,https://github.com/YunaiV/yudao-cloud
drizzle-team,drizzle-orm,13.9k,https://github.com/drizzle-team/drizzle-orm
zhisheng17,flink-learning,13.8k,https://github.com/zhisheng17/flink-learning
beekeeper-studio,beekeeper-studio,13.7k,https://github.com/beekeeper-studio/beekeeper-studio
go-sql-driver,mysql,13.7k,https://github.com/go-sql-driver/mysql
golang-migrate,migrate,12.4k,https://github.com/golang-migrate/migrate
macrozheng,mall-learning,12.4k,https://github.com/macrozheng/mall-learning
sogou,workflow,11.5k,https://github.com/sogou/workflow
github,gh-ost,11.4k,https://github.com/github/gh-ost
dbcli,mycli,11k,https://github.com/dbcli/mycli
diesel-rs,diesel,11k,https://github.com/diesel-rs/diesel
macrozheng,mall-swarm,10.7k,https://github.com/macrozheng/mall-swarm
fuzhengwei,CodeGuide,10.1k,https://github.com/fuzhengwei/CodeGuide
launchbadge,sqlx,10k,https://github.com/launchbadge/sqlx
itwanger,toBeBetterJavaer,9.8k,https://github.com/itwanger/toBeBetterJavaer
sqlc-dev,sqlc,9.2k,https://github.com/sqlc-dev/sqlc
doctrine,dbal,9.2k,https://github.com/doctrine/dbal
coollabsio,coolify,9k,https://github.com/coollabsio/coolify
sequelpro,sequelpro,8.9k,https://github.com/sequelpro/sequelpro
twitter,finagle,8.7k,https://github.com/twitter/finagle
XiaoMi,soar,8.5k,https://github.com/XiaoMi/soar
xo,usql,8.2k,https://github.com/xo/usql
judasn,Linux-Tutorial,8.2k,https://github.com/judasn/Linux-Tutorial
bxcodec,go-clean-arch,8.1k,https://github.com/bxcodec/go-clean-arch
cookieY,Yearning,7.9k,https://github.com/cookieY/Yearning
zfile-dev,zfile,7.9k,https://github.com/zfile-dev/zfile
chat2db,Chat2DB,7.6k,https://github.com/chat2db/Chat2DB
digoal,blog,7.6k,https://github.com/digoal/blog
kysely-org,kysely,7.5k,https://github.com/kysely-org/kysely
linkedin,school-of-sre,7.4k,https://github.com/linkedin/school-of-sre
flyway,flyway,7.4k,https://github.com/flyway/flyway
PyMySQL,PyMySQL,7.4k,https://github.com/PyMySQL/PyMySQL
bytebase,bytebase,7k,https://github.com/bytebase/bytebase
phpmyadmin,phpmyadmin,6.8k,https://github.com/phpmyadmin/phpmyadmin
go-xorm,xorm,6.6k,https://github.com/go-xorm/xorm
mikro-orm,mikro-orm,6.5k,https://github.com/mikro-orm/mikro-orm
manticoresoftware,manticoresearch,6.4k,https://github.com/manticoresoftware/manticoresearch
bookshelf,bookshelf,6.3k,https://github.com/bookshelf/bookshelf
flike,kingshard,6.3k,https://github.com/flike/kingshard
volatiletech,sqlboiler,6k,https://github.com/volatiletech/sqlboiler
donnemartin,dev-setup,6k,https://github.com/donnemartin/dev-setup
itwanger,JavaBooks,5.9k,https://github.com/itwanger/JavaBooks
Sequel-Ace,Sequel-Ace,5.9k,https://github.com/Sequel-Ace/Sequel-Ace
vrana,adminer,5.8k,https://github.com/vrana/adminer
jOOQ,jOOQ,5.7k,https://github.com/jOOQ/jOOQ
dr5hn,countries-states-cities-database,5.5k,https://github.com/dr5hn/countries-states-cities-database
tumobi,nideshop,5.4k,https://github.com/tumobi/nideshop
akopytov,sysbench,5.4k,https://github.com/akopytov/sysbench
hhyo,Archery,5.2k,https://github.com/hhyo/Archery
openark,orchestrator,5.2k,https://github.com/openark/orchestrator
rfyiamcool,share_ppt,5.2k,https://github.com/rfyiamcool/share_ppt
SeaQL,sea-orm,5.1k,https://github.com/SeaQL/sea-orm
backup,backup,4.8k,https://github.com/backup/backup
catfan,Medoo,4.7k,https://github.com/catfan/Medoo
dimitri,pgloader,4.7k,https://github.com/dimitri/pgloader
alibaba,AliSQL,4.7k,https://github.com/alibaba/AliSQL
JSQLParser,JSqlParser,4.6k,https://github.com/JSQLParser/JSqlParser
tangtangcoding,C-C-,4.6k,https://github.com/tangtangcoding/C-C-
cube2222,octosql,4.6k,https://github.com/cube2222/octosql
DotNetNext,SqlSugar,4.6k,https://github.com/DotNetNext/SqlSugar
forthespada,InterviewGuide,4.5k,https://github.com/forthespada/InterviewGuide
pressly,goose,4.5k,https://github.com/pressly/goose
Dolibarr,dolibarr,4.3k,https://github.com/Dolibarr/dolibarr
Yin-Hongwei,music-website,4.3k,https://github.com/Yin-Hongwei/music-website
CoderLeixiaoshuai,java-eight-part,4.3k,https://github.com/CoderLeixiaoshuai/java-eight-part
cytopia,devilbox,4.2k,https://github.com/cytopia/devilbox
bolt,bolt,4.2k,https://github.com/bolt/bolt
liyupi,code-roadmap,4.1k,https://github.com/liyupi/code-roadmap
liquibase,liquibase,4.1k,https://github.com/liquibase/liquibase
HeidiSQL,HeidiSQL,4.1k,https://github.com/HeidiSQL/HeidiSQL
royeo,awesome-programming-books,4.1k,https://github.com/royeo/awesome-programming-books
