Username,Repository,Stars,Repo URL
amphp,amp,4k,https://github.com/amphp/amp
danog,MadelineProto,2.5k,https://github.com/danog/MadelineProto
unreal4u,telegram-api,765,https://github.com/unreal4u/telegram-api
amphp,parallel,697,https://github.com/amphp/parallel
amphp,http-client,669,https://github.com/amphp/http-client
amphp,byte-stream,348,https://github.com/amphp/byte-stream
php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus
amphp,mysql,328,https://github.com/amphp/mysql
amphp,parallel-functions,248,https://github.com/amphp/parallel-functions
amphp,process,218,https://github.com/amphp/process
amphp,socket,200,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,195,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,146,https://github.com/amphp/sync
amphp,dns,141,https://github.com/amphp/dns
amphp,redis,140,https://github.com/amphp/redis
amphp,websocket-client,126,https://github.com/amphp/websocket-client
kelunik,acme,122,https://github.com/kelunik/acme
amphp,websocket-server,102,https://github.com/amphp/websocket-server
amphp,serialization,100,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,cache,91,https://github.com/amphp/cache
amphp,hpack,89,https://github.com/amphp/hpack
amphp,file,89,https://github.com/amphp/file
amphp,windows-registry,86,https://github.com/amphp/windows-registry
amphp,postgres,84,https://github.com/amphp/postgres
jolicode,asynit,78,https://github.com/jolicode/asynit
amphp,beanstalk,63,https://github.com/amphp/beanstalk
wind-framework,wind-framework,54,https://github.com/wind-framework/wind-framework
amphp,cluster,53,https://github.com/amphp/cluster
amphp,aerys,51,https://github.com/amphp/aerys
phpinnacle,ridge,50,https://github.com/phpinnacle/ridge
Room-11,Jeeves,42,https://github.com/Room-11/Jeeves
amphp,http-server-router,38,https://github.com/amphp/http-server-router
amphp,getting-started,37,https://github.com/amphp/getting-started
amphp,ssh,32,https://github.com/amphp/ssh
amphp,log,31,https://github.com/amphp/log
amphp,websocket,31,https://github.com/amphp/websocket
webgriffe,esb,30,https://github.com/webgriffe/esb
scrawler-labs,arca-orm,29,https://github.com/scrawler-labs/arca-orm
ekinhbayar,gitamp,29,https://github.com/ekinhbayar/gitamp
amphp,amphp.github.io,24,https://github.com/amphp/amphp.github.io
amphp,react-adapter,22,https://github.com/amphp/react-adapter
amphp,artax,22,https://github.com/amphp/artax
amphp,http-server-static-content,21,https://github.com/amphp/http-server-static-content
amphp,phpunit-util,20,https://github.com/amphp/phpunit-util
kelunik,demo-chat,19,https://github.com/kelunik/demo-chat
amphp,http-server-session,17,https://github.com/amphp/http-server-session
