Username,Repository,Stars,Repo URL
supabase,supabase,58k,https://github.com/supabase/supabase
appwrite,appwrite,37.1k,https://github.com/appwrite/appwrite
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
firebase,functions-samples,11.8k,https://github.com/firebase/functions-samples
invertase,react-native-firebase,11.1k,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8.6k,https://github.com/firebase/quickstart-android
firebase,flutterfire,8.1k,https://github.com/firebase/flutterfire
angular,angularfire,7.5k,https://github.com/angular/angularfire
nhost,nhost,7.1k,https://github.com/nhost/nhost
microg,GmsCore,6k,https://github.com/microg/GmsCore
labring,laf,5.8k,https://github.com/labring/laf
rowyio,rowy,5.2k,https://github.com/rowyio/rowy
devias-io,material-kit-react,4.9k,https://github.com/devias-io/material-kit-react
Th3Wall,Fakeflix,4.9k,https://github.com/Th3Wall/Fakeflix
firebase,firebase-ios-sdk,4.7k,https://github.com/firebase/firebase-ios-sdk
firebase,firebase-js-sdk,4.6k,https://github.com/firebase/firebase-js-sdk
firebase,FirebaseUI-Android,4.5k,https://github.com/firebase/FirebaseUI-Android
kriasoft,react-firebase-starter,4.5k,https://github.com/kriasoft/react-firebase-starter
ThreeDotsLabs,wild-workouts-go-ddd-example,4.5k,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
spacecloud-io,space-cloud,3.8k,https://github.com/spacecloud-io/space-cloud
vuejs,vuefire,3.7k,https://github.com/vuejs/vuefire
CSFrequency,react-firebase-hooks,3.4k,https://github.com/CSFrequency/react-firebase-hooks
FirebaseExtended,reactfire,3.4k,https://github.com/FirebaseExtended/reactfire
alyssaxuu,mapus,3.2k,https://github.com/alyssaxuu/mapus
fireship-io,fireship.io,3.1k,https://github.com/fireship-io/fireship.io
unicodeveloper,awesome-opensource-apps,2.9k,https://github.com/unicodeveloper/awesome-opensource-apps
firebase,quickstart-ios,2.7k,https://github.com/firebase/quickstart-ios
prescottprue,react-redux-firebase,2.6k,https://github.com/prescottprue/react-redux-firebase
CannerCMS,cannercms,2.4k,https://github.com/CannerCMS/cannercms
TarikHuber,react-most-wanted,2.4k,https://github.com/TarikHuber/react-most-wanted
jeffersonRibeiro,react-shopping-cart,2.3k,https://github.com/jeffersonRibeiro/react-shopping-cart
mdanics,fluttergram,2.2k,https://github.com/mdanics/fluttergram
androiddevnotes,awesome-android-kotlin-apps,2.2k,https://github.com/androiddevnotes/awesome-android-kotlin-apps
insin,react-hn,2.2k,https://github.com/insin/react-hn
onmyway133,PushNotifications,2.2k,https://github.com/onmyway133/PushNotifications
tylermcginnis,re-base,2.1k,https://github.com/tylermcginnis/re-base
firebase,firebase-android-sdk,2.1k,https://github.com/firebase/firebase-android-sdk
WorldHealthOrganization,app,2.1k,https://github.com/WorldHealthOrganization/app
google,santa-tracker-android,2.1k,https://github.com/google/santa-tracker-android
karlhadwen,netflix,2k,https://github.com/karlhadwen/netflix
kreait,firebase-php,2k,https://github.com/kreait/firebase-php
janoodleFTW,timy-messenger,2k,https://github.com/janoodleFTW/timy-messenger
X-Wei,flutter_catalog,2k,https://github.com/X-Wei/flutter_catalog
thisbejim,Pyrebase,2k,https://github.com/thisbejim/Pyrebase
