Username,Repository,Stars,Repo URL
bitcoin,bitcoin,71.7k,https://github.com/bitcoin/bitcoin
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
freqtrade,freqtrade,23.1k,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,18k,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10.6k,https://github.com/solana-labs/solana
bbfamily,abu,10.5k,https://github.com/bbfamily/abu
askmike,gekko,10k,https://github.com/askmike/gekko
dvf,blockchain,7.5k,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7.1k,https://github.com/lightningnetwork/lnd
spesmilo,electrum,6.6k,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6.6k,https://github.com/yeasy/blockchain_guide
butor,blackbird,5.8k,https://github.com/butor/blackbird
btcsuite,btcd,5.5k,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5.4k,https://github.com/btcpayserver/btcpayserver
bitcoinjs,bitcoinjs-lib,5.1k,https://github.com/bitcoinjs/bitcoinjs-lib
getumbrel,umbrel,5k,https://github.com/getumbrel/umbrel
anders94,blockchain-demo,4.9k,https://github.com/anders94/blockchain-demo
jesse-ai,jesse,4.9k,https://github.com/jesse-ai/jesse
bitcoinj,bitcoinj,4.7k,https://github.com/bitcoinj/bitcoinj
UFund-Me,Qbot,4.5k,https://github.com/UFund-Me/Qbot
CryptoSignal,Crypto-Signal,4.5k,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4.4k,https://github.com/bisq-network/bisq
coinpride,CryptoList,4.1k,https://github.com/coinpride/CryptoList
RomelTorres,alpha_vantage,4k,https://github.com/RomelTorres/alpha_vantage
michaelgrosner,tribeca,3.9k,https://github.com/michaelgrosner/tribeca
Jeiwan,blockchain_go,3.9k,https://github.com/Jeiwan/blockchain_go
Scanate,EthList,3.8k,https://github.com/Scanate/EthList
Zheaoli,awesome-coins,3.7k,https://github.com/Zheaoli/awesome-coins
cointop-sh,cointop,3.7k,https://github.com/cointop-sh/cointop
bitpay,wallet,3.7k,https://github.com/bitpay/wallet
bitcoin-wallet,bitcoin-wallet,3.3k,https://github.com/bitcoin-wallet/bitcoin-wallet
SqueezerIO,squeezer,3.3k,https://github.com/SqueezerIO/squeezer
ctubio,Krypto-trading-bot,3.1k,https://github.com/ctubio/Krypto-trading-bot
