Username,Repository,Stars,Repo URL
apache,spark,36.9k,https://github.com/apache/spark
apache,kafka,26k,https://github.com/apache/kafka
apache,flink,22k,https://github.com/apache/flink
heibaiying,BigData-Notes,14.5k,https://github.com/heibaiying/BigData-Notes
scala,scala,14.2k,https://github.com/scala/scala
lichess-org,lila,13.6k,https://github.com/lichess-org/lila
deeplearning4j,deeplearning4j,13.2k,https://github.com/deeplearning4j/deeplearning4j
apache,predictionio,12.6k,https://github.com/apache/predictionio
playframework,playframework,12.4k,https://github.com/playframework/playframework
yahoo,CMAK,11.5k,https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,10.4k,https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,9.6k,https://github.com/kanaka/mal
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
gitbucket,gitbucket,9k,https://github.com/gitbucket/gitbucket
lauris,awesome-scala,8.8k,https://github.com/lauris/awesome-scala
twitter,finagle,8.7k,https://github.com/twitter/finagle
Angel-ML,angel,6.7k,https://github.com/Angel-ML/angel
apache,zeppelin,6.2k,https://github.com/apache/zeppelin
gatling,gatling,6.1k,https://github.com/gatling/gatling
lampepfl,dotty,5.4k,https://github.com/lampepfl/dotty
nteract,papermill,5.4k,https://github.com/nteract/papermill
sbt,sbt,4.7k,https://github.com/sbt/sbt
scalaz,scalaz,4.6k,https://github.com/scalaz/scalaz
microsoft,SynapseML,4.6k,https://github.com/microsoft/SynapseML
emacs-lsp,lsp-mode,4.5k,https://github.com/emacs-lsp/lsp-mode
scala-js,scala-js,4.5k,https://github.com/scala-js/scala-js
polynote,polynote,4.4k,https://github.com/polynote/polynote
intel-analytics,BigDL,4.4k,https://github.com/intel-analytics/BigDL
scala-native,scala-native,4.4k,https://github.com/scala-native/scala-native
izhangzhihao,intellij-rainbow-brackets,4.2k,https://github.com/izhangzhihao/intellij-rainbow-brackets
zio,zio,3.9k,https://github.com/zio/zio
yahoo,TensorFlowOnSpark,3.9k,https://github.com/yahoo/TensorFlowOnSpark
diffplug,spotless,3.7k,https://github.com/diffplug/spotless
milessabin,shapeless,3.3k,https://github.com/milessabin/shapeless
chipsalliance,chisel,3.2k,https://github.com/chipsalliance/chisel
spark-notebook,spark-notebook,3.1k,https://github.com/spark-notebook/spark-notebook
TheHive-Project,TheHive,3k,https://github.com/TheHive-Project/TheHive
xxf098,shadowsocksr-v2ray-trojan-android,3k,https://github.com/xxf098/shadowsocksr-v2ray-trojan-android
awslabs,deequ,3k,https://github.com/awslabs/deequ
adilkhash,Data-Engineering-HowTo,2.9k,https://github.com/adilkhash/Data-Engineering-HowTo
pantsbuild,pants,2.8k,https://github.com/pantsbuild/pants
spark-jobserver,spark-jobserver,2.8k,https://github.com/spark-jobserver/spark-jobserver
chipsalliance,rocket-chip,2.8k,https://github.com/chipsalliance/rocket-chip
twosigma,beakerx,2.8k,https://github.com/twosigma/beakerx
twitter,util,2.7k,https://github.com/twitter/util
lagom,lagom,2.6k,https://github.com/lagom/lagom
scalatra,scalatra,2.6k,https://github.com/scalatra/scalatra
slick,slick,2.6k,https://github.com/slick/slick
scala-exercises,scala-exercises,2.6k,https://github.com/scala-exercises/scala-exercises
intel-analytics,analytics-zoo,2.6k,https://github.com/intel-analytics/analytics-zoo
mongodb,mongo-java-driver,2.6k,https://github.com/mongodb/mongo-java-driver
LuckyZXL2016,Movie_Recommend,2.5k,https://github.com/LuckyZXL2016/Movie_Recommend
spotify,scio,2.5k,https://github.com/spotify/scio
http4s,http4s,2.5k,https://github.com/http4s/http4s
circe,circe,2.4k,https://github.com/circe/circe
ballista-compute,ballista,2.3k,https://github.com/ballista-compute/ballista
softwaremill,elasticmq,2.3k,https://github.com/softwaremill/elasticmq
twitter,finatra,2.3k,https://github.com/twitter/finatra
MoRan1607,BigDataGuide,2.3k,https://github.com/MoRan1607/BigDataGuide
typelevel,fs2,2.3k,https://github.com/typelevel/fs2
salesforce,TransmogrifAI,2.2k,https://github.com/salesforce/TransmogrifAI
zio,zio-quill,2.1k,https://github.com/zio/zio-quill
pocorall,scaloid,2.1k,https://github.com/pocorall/scaloid
tpolecat,doobie,2.1k,https://github.com/tpolecat/doobie
geekyouth,SZT-bigdata,2k,https://github.com/geekyouth/SZT-bigdata
coursier,coursier,2k,https://github.com/coursier/coursier
chen3feng,blade-build,2k,https://github.com/chen3feng/blade-build
sangria-graphql,sangria,2k,https://github.com/sangria-graphql/sangria
MockyAbstract,Mocky,2k,https://github.com/MockyAbstract/Mocky
scalameta,metals,1.9k,https://github.com/scalameta/metals
datastax,spark-cassandra-connector,1.9k,https://github.com/datastax/spark-cassandra-connector
com-lihaoyi,mill,1.9k,https://github.com/com-lihaoyi/mill
monix,monix,1.9k,https://github.com/monix/monix
typelevel,scalacheck,1.9k,https://github.com/typelevel/scalacheck
metarank,metarank,1.9k,https://github.com/metarank/metarank
typelevel,cats-effect,1.9k,https://github.com/typelevel/cats-effect
kaxap,arl,1.8k,https://github.com/kaxap/arl
foundweekends,giter8,1.7k,https://github.com/foundweekends/giter8
sysgears,apollo-universal-starter-kit,1.7k,https://github.com/sysgears/apollo-universal-starter-kit
fthomas,refined,1.7k,https://github.com/fthomas/refined
debiki,talkyard,1.6k,https://github.com/debiki/talkyard
sksamuel,elastic4s,1.6k,https://github.com/sksamuel/elastic4s
japgolly,scalajs-react,1.6k,https://github.com/japgolly/scalajs-react
optics-dev,Monocle,1.6k,https://github.com/optics-dev/Monocle
finagle,finch,1.6k,https://github.com/finagle/finch
apache,sedona,1.6k,https://github.com/apache/sedona
ThoughtWorksInc,Binding.scala,1.6k,https://github.com/ThoughtWorksInc/Binding.scala
