Username,Repository,Stars,Repo URL
ethereum,go-ethereum,43.8k,https://github.com/ethereum/go-ethereum
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,23k,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,21k,https://github.com/ethereum/solidity
ethereumbook,ethereumbook,18.5k,https://github.com/ethereumbook/ethereumbook
web3,web3.js,17.9k,https://github.com/web3/web3.js
sismo-core,sismo-badges,16.2k,https://github.com/sismo-core/sismo-badges
trufflesuite,truffle,14k,https://github.com/trufflesuite/truffle
MetaMask,metamask-extension,10.7k,https://github.com/MetaMask/metamask-extension
smartcontractkit,full-blockchain-solidity-course-py,10.2k,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
smartcontractkit,full-blockchain-solidity-course-js,10k,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
OffcierCia,DeFi-Developer-Road-Map,9k,https://github.com/OffcierCia/DeFi-Developer-Road-Map
scaffold-eth,scaffold-eth,8.9k,https://github.com/scaffold-eth/scaffold-eth
AmazingAng,WTF-Solidity,8.3k,https://github.com/AmazingAng/WTF-Solidity
ethereum,mist,7.4k,https://github.com/ethereum/mist
Consensys,smart-contract-best-practices,7.1k,https://github.com/Consensys/smart-contract-best-practices
ethers-io,ethers.js,7.1k,https://github.com/ethers-io/ethers.js
ethereum-lists,chains,6.9k,https://github.com/ethereum-lists/chains
openethereum,parity-ethereum,6.7k,https://github.com/openethereum/parity-ethereum
foundry-rs,foundry,6.7k,https://github.com/foundry-rs/foundry
capstone-engine,capstone,6.6k,https://github.com/capstone-engine/capstone
yeasy,blockchain_guide,6.6k,https://github.com/yeasy/blockchain_guide
NomicFoundation,hardhat,6.2k,https://github.com/NomicFoundation/hardhat
bkrem,awesome-solidity,6.1k,https://github.com/bkrem/awesome-solidity
smartcontractkit,chainlink,5.2k,https://github.com/smartcontractkit/chainlink
Uniswap,web3-react,5.2k,https://github.com/Uniswap/web3-react
wagmi-dev,wagmi,4.9k,https://github.com/wagmi-dev/wagmi
web3j,web3j,4.8k,https://github.com/web3j/web3j
vyperlang,vyper,4.7k,https://github.com/vyperlang/vyper
