Username,Repository,Stars,Repo URL
jlevy,the-art-of-command-line,140k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,70.6k,https://github.com/nvm-sh/nvm
junegunn,fzf,54.7k,https://github.com/junegunn/fzf
google,zx,38.7k,https://github.com/google/zx
starship,starship,36.8k,https://github.com/starship/starship
dylanaraps,pure-bash-bible,34.8k,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,34.7k,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33.3k,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33.3k,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29.3k,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28.7k,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,25.2k,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23.1k,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18.9k,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18.7k,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17.6k,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,17k,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,15.4k,https://github.com/warpdotdev/Warp
rbenv,rbenv,15.3k,https://github.com/rbenv/rbenv
charmbracelet,gum,14.8k,https://github.com/charmbracelet/gum
faressoft,terminalizer,14.5k,https://github.com/faressoft/terminalizer
extrawurst,gitui,14.2k,https://github.com/extrawurst/gitui
shelljs,shelljs,14k,https://github.com/shelljs/shelljs
powerline,powerline,13.9k,https://github.com/powerline/powerline
Bash-it,bash-it,13.7k,https://github.com/Bash-it/bash-it
denisidoro,navi,13.4k,https://github.com/denisidoro/navi
carlospolop,PEASS-ng,13.4k,https://github.com/carlospolop/PEASS-ng
jessfraz,dockerfiles,13.3k,https://github.com/jessfraz/dockerfiles
JanDeDobbeleer,oh-my-posh,12.3k,https://github.com/JanDeDobbeleer/oh-my-posh
ajeetdsouza,zoxide,12.1k,https://github.com/ajeetdsouza/zoxide
atuinsh,atuin,11.7k,https://github.com/atuinsh/atuin
cheat,cheat,11.1k,https://github.com/cheat/cheat
direnv,direnv,10.9k,https://github.com/direnv/direnv
angristan,openvpn-install,10.8k,https://github.com/angristan/openvpn-install
skywind3000,awesome-cheatsheets,10.4k,https://github.com/skywind3000/awesome-cheatsheets
codota,TabNine,10.2k,https://github.com/codota/TabNine
kanaka,mal,9.6k,https://github.com/kanaka/mal
mikefarah,yq,9.5k,https://github.com/mikefarah/yq
rgcr,m-cli,9.4k,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,9.3k,https://github.com/alexanderepstein/Bash-Snippets
guarinogabriel,Mac-CLI,8.6k,https://github.com/guarinogabriel/Mac-CLI
Gogh-Co,Gogh,8.2k,https://github.com/Gogh-Co/Gogh
webpro,awesome-dotfiles,8.1k,https://github.com/webpro/awesome-dotfiles
onceupon,Bash-Oneliner,7.9k,https://github.com/onceupon/Bash-Oneliner
bregman-arie,devops-resources,7.8k,https://github.com/bregman-arie/devops-resources
89luca89,distrobox,7.4k,https://github.com/89luca89/distrobox
xonsh,xonsh,7.3k,https://github.com/xonsh/xonsh
enquirer,enquirer,7.3k,https://github.com/enquirer/enquirer
PipedreamHQ,pipedream,7.3k,https://github.com/PipedreamHQ/pipedream
oldratlee,useful-scripts,6.9k,https://github.com/oldratlee/useful-scripts
awesome-lists,awesome-bash,6.5k,https://github.com/awesome-lists/awesome-bash
kellyjonbrazil,jc,6.4k,https://github.com/kellyjonbrazil/jc
mvdan,sh,6.2k,https://github.com/mvdan/sh
TheR1D,shell_gpt,6.2k,https://github.com/TheR1D/shell_gpt
b-ryan,powerline-shell,6.1k,https://github.com/b-ryan/powerline-shell
donnemartin,dev-setup,6k,https://github.com/donnemartin/dev-setup
arzzen,git-quick-stats,5.9k,https://github.com/arzzen/git-quick-stats
xwmx,nb,5.8k,https://github.com/xwmx/nb
dehydrated-io,dehydrated,5.6k,https://github.com/dehydrated-io/dehydrated
niieani,bash-oo-framework,5.5k,https://github.com/niieani/bash-oo-framework
denysdovhan,bash-handbook,5.4k,https://github.com/denysdovhan/bash-handbook
v1s1t0r1sh3r3,airgeddon,5.4k,https://github.com/v1s1t0r1sh3r3/airgeddon
hyperupcall,autoenv,5.4k,https://github.com/hyperupcall/autoenv
dschep,ntfy,4.7k,https://github.com/dschep/ntfy
xxh,xxh,4.7k,https://github.com/xxh/xxh
TheLocehiliosan,yadm,4.3k,https://github.com/TheLocehiliosan/yadm
liquidprompt,liquidprompt,4.3k,https://github.com/liquidprompt/liquidprompt
bats-core,bats-core,4.2k,https://github.com/bats-core/bats-core
LazoCoder,Pokemon-Terminal,4.1k,https://github.com/LazoCoder/Pokemon-Terminal
MichaIng,DietPi,4.1k,https://github.com/MichaIng/DietPi
tfutils,tfenv,4k,https://github.com/tfutils/tfenv
wfxr,forgit,4k,https://github.com/wfxr/forgit
Slackadays,Clipboard,4k,https://github.com/Slackadays/Clipboard
dylanaraps,fff,3.9k,https://github.com/dylanaraps/fff
Gictorbit,photoshopCClinux,3.9k,https://github.com/Gictorbit/photoshopCClinux
DDoSolitary,LxRunOffline,3.9k,https://github.com/DDoSolitary/LxRunOffline
GameServerManagers,LinuxGSM,3.9k,https://github.com/GameServerManagers/LinuxGSM
dvorka,hstr,3.7k,https://github.com/dvorka/hstr
KittyKatt,screenFetch,3.7k,https://github.com/KittyKatt/screenFetch
Fechin,reference,3.6k,https://github.com/Fechin/reference
fishercoder1534,Leetcode,3.6k,https://github.com/fishercoder1534/Leetcode
jeroenjanssens,data-science-at-the-command-line,3.6k,https://github.com/jeroenjanssens/data-science-at-the-command-line
babashka,babashka,3.6k,https://github.com/babashka/babashka
mattallty,Caporal.js,3.4k,https://github.com/mattallty/Caporal.js
sloria,doitlive,3.3k,https://github.com/sloria/doitlive
jonmosco,kube-ps1,3.3k,https://github.com/jonmosco/kube-ps1
sdushantha,tmpmail,3.2k,https://github.com/sdushantha/tmpmail
leebaird,discover,3.2k,https://github.com/leebaird/discover
laurent22,rsync-time-backup,3.2k,https://github.com/laurent22/rsync-time-backup
Nyr,wireguard-install,3.2k,https://github.com/Nyr/wireguard-install
jessfraz,dotfiles,3.2k,https://github.com/jessfraz/dotfiles
erikw,tmux-powerline,3.1k,https://github.com/erikw/tmux-powerline
johanhaleby,kubetail,3.1k,https://github.com/johanhaleby/kubetail
ingydotnet,git-subrepo,3k,https://github.com/ingydotnet/git-subrepo
trinib,Linux-Bash-Commands,3k,https://github.com/trinib/Linux-Bash-Commands
gwen001,pentest-tools,3k,https://github.com/gwen001/pentest-tools
