Username,Repository,Stars,Repo URL
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,90.6k,https://github.com/angular/angular
storybookjs,storybook,80.5k,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,59k,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
prettier,prettier,46.7k,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,38.7k,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33.6k,https://github.com/SheetJS/sheetjs
angular,angular-cli,26.2k,https://github.com/angular/angular-cli
angular,components,23.7k,https://github.com/angular/components
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22.4k,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
nrwl,nx,19.6k,https://github.com/nrwl/nx
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,18.1k,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17k,https://github.com/teambit/bit
sweetalert2,sweetalert2,16.3k,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,13.6k,https://github.com/jasontaylordev/CleanArchitecture
codesandbox,codesandbox-client,12.6k,https://github.com/codesandbox/codesandbox-client
linnovate,mean,12.2k,https://github.com/linnovate/mean
Chocobozzz,PeerTube,12k,https://github.com/Chocobozzz/PeerTube
abpframework,abp,11.5k,https://github.com/abpframework/abp
ag-grid,ag-grid,10.9k,https://github.com/ag-grid/ag-grid
PatrickJS,MFE-starter,10.4k,https://github.com/PatrickJS/MFE-starter
dotansimha,graphql-code-generator,10.3k,https://github.com/dotansimha/graphql-code-generator
BuilderIO,mitosis,9.7k,https://github.com/BuilderIO/mitosis
PatrickJS,awesome-angular,9.1k,https://github.com/PatrickJS/awesome-angular
angular,protractor,8.8k,https://github.com/angular/protractor
OnsenUI,OnsenUI,8.7k,https://github.com/OnsenUI/OnsenUI
NG-ZORRO,ng-zorro-antd,8.6k,https://github.com/NG-ZORRO/ng-zorro-antd
primefaces,primeng,8.5k,https://github.com/primefaces/primeng
rematch,rematch,8.4k,https://github.com/rematch/rematch
text-mask,text-mask,8.2k,https://github.com/text-mask/text-mask
ng-bootstrap,ng-bootstrap,8.1k,https://github.com/ng-bootstrap/ng-bootstrap
akveo,nebular,7.9k,https://github.com/akveo/nebular
ngrx,platform,7.7k,https://github.com/ngrx/platform
angular,angularfire,7.5k,https://github.com/angular/angularfire
opf,openproject,7.4k,https://github.com/opf/openproject
getsentry,sentry-javascript,7.3k,https://github.com/getsentry/sentry-javascript
bitwarden,clients,7.3k,https://github.com/bitwarden/clients
ajenti,ajenti,7.2k,https://github.com/ajenti/ajenti
AllThingsSmitty,must-watch-javascript,7k,https://github.com/AllThingsSmitty/must-watch-javascript
zhongsp,TypeScript,6.8k,https://github.com/zhongsp/TypeScript
lgwebdream,FE-Interview,6.5k,https://github.com/lgwebdream/FE-Interview
vmware-archive,clarity,6.5k,https://github.com/vmware-archive/clarity
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
RicoSuter,NSwag,6.1k,https://github.com/RicoSuter/NSwag
toddmotto,angularjs-styleguide,6k,https://github.com/toddmotto/angularjs-styleguide
sachinchoolur,lightGallery,6k,https://github.com/sachinchoolur/lightGallery
angular,flex-layout,5.9k,https://github.com/angular/flex-layout
tsparticles,tsparticles,5.9k,https://github.com/tsparticles/tsparticles
LogRocket,redux-logger,5.7k,https://github.com/LogRocket/redux-logger
BuilderIO,builder,5.7k,https://github.com/BuilderIO/builder
valor-software,ngx-bootstrap,5.5k,https://github.com/valor-software/ngx-bootstrap
maximegris,angular-electron,5.5k,https://github.com/maximegris/angular-electron
timjacobi,angular-education,5.4k,https://github.com/timjacobi/angular-education
angular-ui,ui-grid,5.4k,https://github.com/angular-ui/ui-grid
jonaswinkler,paperless-ng,5.4k,https://github.com/jonaswinkler/paperless-ng
gridstack,gridstack.js,5.3k,https://github.com/gridstack/gridstack.js
oppia,oppia,5.2k,https://github.com/oppia/oppia
Soundnode,soundnode-app,5.1k,https://github.com/Soundnode/soundnode-app
bitgapp,eqMac,5.1k,https://github.com/bitgapp/eqMac
gothinkster,angular-realworld-example-app,4.9k,https://github.com/gothinkster/angular-realworld-example-app
altair-graphql,altair,4.8k,https://github.com/altair-graphql/altair
naver,fe-news,4.8k,https://github.com/naver/fe-news
cydrobolt,polr,4.8k,https://github.com/cydrobolt/polr
searchkit,searchkit,4.7k,https://github.com/searchkit/searchkit
mgechev,angular-seed,4.6k,https://github.com/mgechev/angular-seed
swimlane,ngx-datatable,4.6k,https://github.com/swimlane/ngx-datatable
Strider-CD,strider,4.6k,https://github.com/Strider-CD/strider
emacs-lsp,lsp-mode,4.5k,https://github.com/emacs-lsp/lsp-mode
ng-alain,ng-alain,4.5k,https://github.com/ng-alain/ng-alain
ngx-translate,core,4.4k,https://github.com/ngx-translate/core
webhooksite,webhook.site,4.4k,https://github.com/webhooksite/webhook.site
Postcatlab,postcat,4.4k,https://github.com/Postcatlab/postcat
dotnetcore,Util,4.3k,https://github.com/dotnetcore/Util
swimlane,ngx-charts,4.2k,https://github.com/swimlane/ngx-charts
rcbyr,keen-slider,4.2k,https://github.com/rcbyr/keen-slider
mgechev,angular-performance-checklist,4k,https://github.com/mgechev/angular-performance-checklist
YauhenKavalchuk,interview-questions,4k,https://github.com/YauhenKavalchuk/interview-questions
marmelab,ng-admin,4k,https://github.com/marmelab/ng-admin
willmcpo,body-scroll-lock,4k,https://github.com/willmcpo/body-scroll-lock
ngrx,store,3.9k,https://github.com/ngrx/store
alexjlockwood,ShapeShifter,3.9k,https://github.com/alexjlockwood/ShapeShifter
compodoc,compodoc,3.9k,https://github.com/compodoc/compodoc
webpack-china,awesome-webpack-cn,3.8k,https://github.com/webpack-china/awesome-webpack-cn
surveyjs,survey-library,3.7k,https://github.com/surveyjs/survey-library
salesforce,akita,3.7k,https://github.com/salesforce/akita
bitwarden,desktop,3.6k,https://github.com/bitwarden/desktop
roughike,inKino,3.5k,https://github.com/roughike/inKino
sudheerj,angular-interview-questions,3.5k,https://github.com/sudheerj/angular-interview-questions
sadanandpai,frontend-learning-kit,3.5k,https://github.com/sadanandpai/frontend-learning-kit
dolanmiu,docx,3.5k,https://github.com/dolanmiu/docx
ngxs,store,3.5k,https://github.com/ngxs/store
Shpota,goxygen,3.2k,https://github.com/Shpota/goxygen
eludadev,ui-buttons,3.2k,https://github.com/eludadev/ui-buttons
ng-select,ng-select,3.2k,https://github.com/ng-select/ng-select
Wscats,articles,3.2k,https://github.com/Wscats/articles
