Username,Repository,Stars,Repo URL
pallets,flask,64.6k,https://github.com/pallets/flask
apache,superset,54.8k,https://github.com/apache/superset
Asabeneh,30-Days-Of-Python,26.6k,https://github.com/Asabeneh/30-Days-Of-Python
plotly,dash,19.5k,https://github.com/plotly/dash
OpenEthan,SMSBoom,14.2k,https://github.com/OpenEthan/SMSBoom
Miserlou,Zappa,11.9k,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,11.6k,https://github.com/humiaozuzu/awesome-flask
miguelgrinberg,flasky,8.3k,https://github.com/miguelgrinberg/flasky
benbusby,whoogle-search,8k,https://github.com/benbusby/whoogle-search
jofpin,trape,7.7k,https://github.com/jofpin/trape
dvf,blockchain,7.5k,https://github.com/dvf/blockchain
pyeve,eve,6.6k,https://github.com/pyeve/eve
joeyespo,grip,6.2k,https://github.com/joeyespo/grip
miguelgrinberg,Flask-SocketIO,5.1k,https://github.com/miguelgrinberg/Flask-SocketIO
Python3WebSpider,ProxyPool,5k,https://github.com/Python3WebSpider/ProxyPool
CTFd,CTFd,4.9k,https://github.com/CTFd/CTFd
cookiecutter-flask,cookiecutter-flask,4.4k,https://github.com/cookiecutter-flask/cookiecutter-flask
schenkd,nginx-ui,4.3k,https://github.com/schenkd/nginx-ui
dpgaspar,Flask-AppBuilder,4.3k,https://github.com/dpgaspar/Flask-AppBuilder
man-group,dtale,4.3k,https://github.com/man-group/dtale
miguelgrinberg,microblog,4.3k,https://github.com/miguelgrinberg/microblog
ahkarami,Deep-Learning-in-Production,4.1k,https://github.com/ahkarami/Deep-Learning-in-Production
simple-login,app,4.1k,https://github.com/simple-login/app
pallets-eco,flask-sqlalchemy,4.1k,https://github.com/pallets-eco/flask-sqlalchemy
lepture,authlib,4k,https://github.com/lepture/authlib
taoufik07,responder,3.6k,https://github.com/taoufik07/responder
elliotgao2,toapi,3.4k,https://github.com/elliotgao2/toapi
flasgger,flasgger,3.4k,https://github.com/flasgger/flasgger
christabor,flask_jsondash,3.3k,https://github.com/christabor/flask_jsondash
dynaconf,dynaconf,3.3k,https://github.com/dynaconf/dynaconf
ets-labs,python-dependency-injector,3.2k,https://github.com/ets-labs/python-dependency-injector
nyaadevs,nyaa,3.1k,https://github.com/nyaadevs/nyaa
the0demiurge,ShadowSocksShare,3.1k,https://github.com/the0demiurge/ShadowSocksShare
hack4impact,flask-base,2.9k,https://github.com/hack4impact/flask-base
tiangolo,uwsgi-nginx-flask-docker,2.9k,https://github.com/tiangolo/uwsgi-nginx-flask-docker
SelfhostedPro,Yacht,2.9k,https://github.com/SelfhostedPro/Yacht
tirthajyoti,Machine-Learning-with-Python,2.8k,https://github.com/tirthajyoti/Machine-Learning-with-Python
formspree,formspree,2.8k,https://github.com/formspree/formspree
zappa,Zappa,2.7k,https://github.com/zappa/Zappa
noirbizarre,flask-restplus,2.7k,https://github.com/noirbizarre/flask-restplus
reloadware,reloadium,2.5k,https://github.com/reloadware/reloadium
flaskbb,flaskbb,2.4k,https://github.com/flaskbb/flaskbb
mjhea0,flaskr-tdd,2.3k,https://github.com/mjhea0/flaskr-tdd
miguelgrinberg,Flask-Migrate,2.3k,https://github.com/miguelgrinberg/Flask-Migrate
quokkaproject,quokka,2.2k,https://github.com/quokkaproject/quokka
python-security,pyt,2.1k,https://github.com/python-security/pyt
ml-tooling,best-of-web-python,2k,https://github.com/ml-tooling/best-of-web-python
codingforentrepreneurs,30-Days-of-Python,2k,https://github.com/codingforentrepreneurs/30-Days-of-Python
coleifer,sqlite-web,2k,https://github.com/coleifer/sqlite-web
python-restx,flask-restx,2k,https://github.com/python-restx/flask-restx
johnwheeler,flask-ask,1.9k,https://github.com/johnwheeler/flask-ask
dongweiming,wechat-admin,1.7k,https://github.com/dongweiming/wechat-admin
rpicard,explore-flask,1.7k,https://github.com/rpicard/explore-flask
greyli,helloflask,1.7k,https://github.com/greyli/helloflask
pinterest,querybook,1.6k,https://github.com/pinterest/querybook
indico,indico,1.5k,https://github.com/indico/indico
dternyak,React-Redux-Flask,1.5k,https://github.com/dternyak/React-Redux-Flask
abbey2023,PyOne,1.5k,https://github.com/abbey2023/PyOne
Baiyuetribe,kamiFaka,1.5k,https://github.com/Baiyuetribe/kamiFaka
vimalloc,flask-jwt-extended,1.5k,https://github.com/vimalloc/flask-jwt-extended
zwczou,weixin-python,1.5k,https://github.com/zwczou/weixin-python
guanshuicheng,invoice,1.4k,https://github.com/guanshuicheng/invoice
lepture,flask-oauthlib,1.4k,https://github.com/lepture/flask-oauthlib
wtforms,flask-wtf,1.4k,https://github.com/wtforms/flask-wtf
paicha,gxgk-wechat-server,1.4k,https://github.com/paicha/gxgk-wechat-server
gtalarico,flask-vuejs-template,1.4k,https://github.com/gtalarico/flask-vuejs-template
marshmallow-code,webargs,1.3k,https://github.com/marshmallow-code/webargs
frol,flask-restplus-server-example,1.3k,https://github.com/frol/flask-restplus-server-example
graphql-python,flask-graphql,1.3k,https://github.com/graphql-python/flask-graphql
pallets,flask-website,1.3k,https://github.com/pallets/flask-website
tecladocode,rest-apis-flask-python,1.2k,https://github.com/tecladocode/rest-apis-flask-python
DjangoEx,awesome-python-resources,1.2k,https://github.com/DjangoEx/awesome-python-resources
mjhea0,awesome-flask,1.2k,https://github.com/mjhea0/awesome-flask
miguelgrinberg,Flask-HTTPAuth,1.2k,https://github.com/miguelgrinberg/Flask-HTTPAuth
dongweiming,web_develop,1.2k,https://github.com/dongweiming/web_develop
lxztju,pytorch_classification,1.2k,https://github.com/lxztju/pytorch_classification
imfing,keras-flask-deploy-webapp,1.1k,https://github.com/imfing/keras-flask-deploy-webapp
HaoZhang95,Python24,1.1k,https://github.com/HaoZhang95/Python24
burness,tensorflow-101,1.1k,https://github.com/burness/tensorflow-101
widgetti,solara,1.1k,https://github.com/widgetti/solara
ai-eks,OpenClubhouse,1.1k,https://github.com/ai-eks/OpenClubhouse
marshmallow-code,apispec,1.1k,https://github.com/marshmallow-code/apispec
viniciuschiele,flask-apscheduler,1k,https://github.com/viniciuschiele/flask-apscheduler
alisaifee,flask-limiter,1k,https://github.com/alisaifee/flask-limiter
QIN2DIM,V2RayCloudSpider,1k,https://github.com/QIN2DIM/V2RayCloudSpider
rwv,chinese-dos-games-web,1k,https://github.com/rwv/chinese-dos-games-web
mouday,domain-admin,1k,https://github.com/mouday/domain-admin
helloflask,bootstrap-flask,987,https://github.com/helloflask/bootstrap-flask
cburmeister,flask-bones,986,https://github.com/cburmeister/flask-bones
fabston,TradingView-Webhook-Bot,972,https://github.com/fabston/TradingView-Webhook-Bot
spiral-project,ihatemoney,965,https://github.com/spiral-project/ihatemoney
seasonstar,bibi,940,https://github.com/seasonstar/bibi
karpathy,arxiv-sanity-lite,935,https://github.com/karpathy/arxiv-sanity-lite
klen,mixer,919,https://github.com/klen/mixer
tangyoha,telegram_media_downloader,897,https://github.com/tangyoha/telegram_media_downloader
pallets-eco,flask-debugtoolbar,891,https://github.com/pallets-eco/flask-debugtoolbar
Leo-G,Flask-Scaffold,891,https://github.com/Leo-G/Flask-Scaffold
nickjj,build-a-saas-app-with-flask,888,https://github.com/nickjj/build-a-saas-app-with-flask
slackapi,bolt-python,887,https://github.com/slackapi/bolt-python
ByronHsu,Never-Blink,879,https://github.com/ByronHsu/Never-Blink
