Username,Repository,Stars,Repo URL
bitcoin,bitcoin,71.7k,https://github.com/bitcoin/bitcoin
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
OpenBB-finance,OpenBBTerminal,24.5k,https://github.com/OpenBB-finance/OpenBBTerminal
freqtrade,freqtrade,23.1k,https://github.com/freqtrade/freqtrade
monero-project,monero,8.1k,https://github.com/monero-project/monero
xmrig,xmrig,7.8k,https://github.com/xmrig/xmrig
dvf,blockchain,7.5k,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7.1k,https://github.com/lightningnetwork/lnd
hummingbot,hummingbot,6.4k,https://github.com/hummingbot/hummingbot
StockSharp,StockSharp,6k,https://github.com/StockSharp/StockSharp
tendermint,tendermint,5.6k,https://github.com/tendermint/tendermint
sammchardy,python-binance,5.4k,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,5.4k,https://github.com/cosmos/cosmos-sdk
sea-protocol,seaprotocol,5.2k,https://github.com/sea-protocol/seaprotocol
mimblewimble,grin,5k,https://github.com/mimblewimble/grin
jesse-ai,jesse,4.9k,https://github.com/jesse-ai/jesse
firmai,financial-machine-learning,4.7k,https://github.com/firmai/financial-machine-learning
chrisleekr,binance-trading-bot,4.6k,https://github.com/chrisleekr/binance-trading-bot
litecoin-project,litecoin,4.2k,https://github.com/litecoin-project/litecoin
coinpride,CryptoList,4.1k,https://github.com/coinpride/CryptoList
RomelTorres,alpha_vantage,4k,https://github.com/RomelTorres/alpha_vantage
itheima1,BlockChain,4k,https://github.com/itheima1/BlockChain
michaelgrosner,tribeca,3.9k,https://github.com/michaelgrosner/tribeca
Jeiwan,blockchain_go,3.9k,https://github.com/Jeiwan/blockchain_go
Scanate,EthList,3.8k,https://github.com/Scanate/EthList
input-output-hk,cardano-sl,3.8k,https://github.com/input-output-hk/cardano-sl
Zheaoli,awesome-coins,3.7k,https://github.com/Zheaoli/awesome-coins
cointop-sh,cointop,3.7k,https://github.com/cointop-sh/cointop
status-im,status-mobile,3.7k,https://github.com/status-im/status-mobile
Superalgos,Superalgos,3.5k,https://github.com/Superalgos/Superalgos
nanocurrency,nano-node,3.5k,https://github.com/nanocurrency/nano-node
polakowo,vectorbt,3.2k,https://github.com/polakowo/vectorbt
ctubio,Krypto-trading-bot,3.1k,https://github.com/ctubio/Krypto-trading-bot
