Username,Repository,Stars,Repo URL
django,django,73.5k,https://github.com/django/django
getsentry,sentry,35.3k,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,26.5k,https://github.com/encode/django-rest-framework
jumpserver,jumpserver,22.2k,https://github.com/jumpserver/jumpserver
saleor,saleor,19.2k,https://github.com/saleor/saleor
makeplane,plane,17.8k,https://github.com/makeplane/plane
wagtail,wagtail,16k,https://github.com/wagtail/wagtail
ansible,awx,12.7k,https://github.com/ansible/awx
Miserlou,Zappa,11.9k,https://github.com/Miserlou/Zappa
cookiecutter,cookiecutter-django,10.9k,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,9.5k,https://github.com/django-cms/django-cms
pennersr,django-allauth,8.4k,https://github.com/pennersr/django-allauth
wsvincent,awesome-django,7.6k,https://github.com/wsvincent/awesome-django
healthchecks,healthchecks,6.7k,https://github.com/healthchecks/healthchecks
LibrePhotos,librephotos,6k,https://github.com/LibrePhotos/librephotos
django-oscar,django-oscar,5.9k,https://github.com/django-oscar/django-oscar
liangliangyy,DjangoBlog,5.8k,https://github.com/liangliangyy/DjangoBlog
graphite-project,graphite-web,5.7k,https://github.com/graphite-project/graphite-web
joerick,pyinstrument,5.6k,https://github.com/joerick/pyinstrument
QingdaoU,OnlineJudge,5.6k,https://github.com/QingdaoU/OnlineJudge
arachnys,cabot,5.5k,https://github.com/arachnys/cabot
jonaswinkler,paperless-ng,5.4k,https://github.com/jonaswinkler/paperless-ng
vitalik,django-ninja,5.1k,https://github.com/vitalik/django-ninja
TandoorRecipes,recipes,4.4k,https://github.com/TandoorRecipes/recipes
graphql-python,graphene-django,4.2k,https://github.com/graphql-python/graphene-django
lepture,authlib,4k,https://github.com/lepture/authlib
WeblateOrg,weblate,3.8k,https://github.com/WeblateOrg/weblate
strawberry-graphql,strawberry,3.5k,https://github.com/strawberry-graphql/strawberry
geex-arts,django-jet,3.5k,https://github.com/geex-arts/django-jet
dynaconf,dynaconf,3.3k,https://github.com/dynaconf/dynaconf
FactoryBoy,factory_boy,3.2k,https://github.com/FactoryBoy/factory_boy
axnsan12,drf-yasg,3.2k,https://github.com/axnsan12/drf-yasg
jpadilla,django-rest-framework-jwt,3.2k,https://github.com/jpadilla/django-rest-framework-jwt
guohongze,adminset,3.2k,https://github.com/guohongze/adminset
inventree,InvenTree,3.1k,https://github.com/inventree/InvenTree
Gerapy,Gerapy,3.1k,https://github.com/Gerapy/Gerapy
newpanjing,simpleui,3.1k,https://github.com/newpanjing/simpleui
DefectDojo,django-DefectDojo,3.1k,https://github.com/DefectDojo/django-DefectDojo
awesto,django-shop,3.1k,https://github.com/awesto/django-shop
Ehco1996,django-sspanel,3k,https://github.com/Ehco1996/django-sspanel
unicodeveloper,awesome-opensource-apps,2.9k,https://github.com/unicodeveloper/awesome-opensource-apps
pinry,pinry,2.9k,https://github.com/pinry/pinry
Keats,tera,2.9k,https://github.com/Keats/tera
jazzband,django-oauth-toolkit,2.9k,https://github.com/jazzband/django-oauth-toolkit
joke2k,django-environ,2.8k,https://github.com/joke2k/django-environ
django-import-export,django-import-export,2.8k,https://github.com/django-import-export/django-import-export
hooram,ownphotos,2.7k,https://github.com/hooram/ownphotos
zappa,Zappa,2.7k,https://github.com/zappa/Zappa
modoboa,modoboa,2.7k,https://github.com/modoboa/modoboa
flosch,pongo2,2.7k,https://github.com/flosch/pongo2
Seedstars,django-react-redux-base,2.7k,https://github.com/Seedstars/django-react-redux-base
zmister2016,MrDoc,2.6k,https://github.com/zmister2016/MrDoc
milesmcc,shynet,2.6k,https://github.com/milesmcc/shynet
reloadware,reloadium,2.5k,https://github.com/reloadware/reloadium
jschneier,django-storages,2.5k,https://github.com/jschneier/django-storages
kmmbvnr,django-material,2.5k,https://github.com/kmmbvnr/django-material
wger-project,wger,2.5k,https://github.com/wger-project/wger
django-webpack,django-webpack-loader,2.5k,https://github.com/django-webpack/django-webpack-loader
viewflow,viewflow,2.5k,https://github.com/viewflow/viewflow
Tivix,django-rest-auth,2.4k,https://github.com/Tivix/django-rest-auth
rafalp,Misago,2.4k,https://github.com/rafalp/Misago
zostera,django-bootstrap3,2.3k,https://github.com/zostera/django-bootstrap3
darklow,django-suit,2.3k,https://github.com/darklow/django-suit
viewflow,django-fsm,2.3k,https://github.com/viewflow/django-fsm
vitorfs,bootcamp,2.2k,https://github.com/vitorfs/bootcamp
groveco,django-sql-explorer,2.2k,https://github.com/groveco/django-sql-explorer
jazzband,django-push-notifications,2.1k,https://github.com/jazzband/django-push-notifications
shuup,shuup,2.1k,https://github.com/shuup/shuup
Fantomas42,django-blog-zinnia,2.1k,https://github.com/Fantomas42/django-blog-zinnia
ciur,papermerge,2.1k,https://github.com/ciur/papermerge
mirumee,ariadne,2.1k,https://github.com/mirumee/ariadne
allegro,ralph,2.1k,https://github.com/allegro/ralph
ml-tooling,best-of-web-python,2k,https://github.com/ml-tooling/best-of-web-python
