Username,Repository,Stars,Repo URL
facebook,react-native,112k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,80.6k,https://github.com/storybookjs/storybook
enaqx,awesome-react,58.7k,https://github.com/enaqx/awesome-react
laurent22,joplin,39k,https://github.com/laurent22/joplin
react-hook-form,react-hook-form,37.1k,https://github.com/react-hook-form/react-hook-form
dkhamsing,open-source-ios-apps,36.7k,https://github.com/dkhamsing/open-source-ios-apps
NervJS,taro,33.7k,https://github.com/NervJS/taro
jondot,awesome-react-native,33.4k,https://github.com/jondot/awesome-react-native
jaredpalmer,formik,32.9k,https://github.com/jaredpalmer/formik
sudheerj,reactjs-interview-questions,32.3k,https://github.com/sudheerj/reactjs-interview-questions
typeorm,typeorm,32.3k,https://github.com/typeorm/typeorm
vercel,swr,28.1k,https://github.com/vercel/swr
mattermost,mattermost,26.6k,https://github.com/mattermost/mattermost
react-native-elements,react-native-elements,24.1k,https://github.com/react-native-elements/react-native-elements
expo,expo,23.9k,https://github.com/expo/expo
react-navigation,react-navigation,22.8k,https://github.com/react-navigation/react-navigation
necolas,react-native-web,21k,https://github.com/necolas/react-native-web
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
GeekyAnts,NativeBase,19.7k,https://github.com/GeekyAnts/NativeBase
zulip,zulip,18.6k,https://github.com/zulip/zulip
oblador,react-native-vector-icons,17k,https://github.com/oblador/react-native-vector-icons
lottie-react-native,lottie-react-native,16.2k,https://github.com/lottie-react-native/lottie-react-native
infinitered,ignite,15.8k,https://github.com/infinitered/ignite
microsoft,react-native-windows,15.7k,https://github.com/microsoft/react-native-windows
feathersjs,feathers,14.8k,https://github.com/feathersjs/feathers
react-native-maps,react-native-maps,14.4k,https://github.com/react-native-maps/react-native-maps
infinitered,reactotron,14.2k,https://github.com/infinitered/reactotron
expo,create-react-native-app,13.2k,https://github.com/expo/create-react-native-app
danilowoz,react-content-loader,13.1k,https://github.com/danilowoz/react-content-loader
wix,react-native-navigation,12.9k,https://github.com/wix/react-native-navigation
FaridSafi,react-native-gifted-chat,12.7k,https://github.com/FaridSafi/react-native-gifted-chat
callstack,react-native-paper,11.4k,https://github.com/callstack/react-native-paper
invertase,react-native-firebase,11.1k,https://github.com/invertase/react-native-firebase
wix,Detox,10.6k,https://github.com/wix/Detox
welldone-software,why-did-you-render,10.3k,https://github.com/welldone-software/why-did-you-render
leecade,react-native-swiper,10.2k,https://github.com/leecade/react-native-swiper
alibaba,formily,10.1k,https://github.com/alibaba/formily
jhen0409,react-native-debugger,10.1k,https://github.com/jhen0409/react-native-debugger
gregberge,svgr,10k,https://github.com/gregberge/svgr
akveo,react-native-ui-kitten,9.8k,https://github.com/akveo/react-native-ui-kitten
boardgameio,boardgame.io,9.7k,https://github.com/boardgameio/boardgame.io
react-native-camera,react-native-camera,9.6k,https://github.com/react-native-camera/react-native-camera
oblador,react-native-animatable,9.6k,https://github.com/oblador/react-native-animatable
Nozbe,WatermelonDB,9.5k,https://github.com/Nozbe/WatermelonDB
aws-amplify,amplify-js,9.3k,https://github.com/aws-amplify/amplify-js
devhubapp,devhub,9.2k,https://github.com/devhubapp/devhub
GetStream,Winds,8.8k,https://github.com/GetStream/Winds
wix,react-native-calendars,8.8k,https://github.com/wix/react-native-calendars
microsoft,react-native-code-push,8.6k,https://github.com/microsoft/react-native-code-push
keybase,client,8.6k,https://github.com/keybase/client
i18next,react-i18next,8.5k,https://github.com/i18next/react-i18next
rematch,rematch,8.4k,https://github.com/rematch/rematch
react-native-image-picker,react-native-image-picker,8.2k,https://github.com/react-native-image-picker/react-native-image-picker
tamagui,tamagui,8k,https://github.com/tamagui/tamagui
DylanVann,react-native-fast-image,7.8k,https://github.com/DylanVann/react-native-fast-image
software-mansion,react-native-reanimated,7.8k,https://github.com/software-mansion/react-native-reanimated
streetwriters,notesnook,7.2k,https://github.com/streetwriters/notesnook
akveo,kittenTricks,7k,https://github.com/akveo/kittenTricks
berty,berty,7k,https://github.com/berty/berty
ptomasroos,react-native-scrollable-tab-view,6.9k,https://github.com/ptomasroos/react-native-scrollable-tab-view
fangwei716,30-days-of-react-native,6.7k,https://github.com/fangwei716/30-days-of-react-native
zo0r,react-native-push-notification,6.7k,https://github.com/zo0r/react-native-push-notification
ritz078,transform,6.2k,https://github.com/ritz078/transform
redux-offline,redux-offline,6.1k,https://github.com/redux-offline/redux-offline
ivpusic,react-native-image-crop-picker,5.9k,https://github.com/ivpusic/react-native-image-crop-picker
BuilderIO,builder,5.8k,https://github.com/BuilderIO/builder
midudev,preguntas-entrevista-react,5.8k,https://github.com/midudev/preguntas-entrevista-react
wix,react-native-ui-lib,5.7k,https://github.com/wix/react-native-ui-lib
jpush,aurora-imui,5.7k,https://github.com/jpush/aurora-imui
software-mansion,react-native-gesture-handler,5.6k,https://github.com/software-mansion/react-native-gesture-handler
Shopify,react-native-skia,5.5k,https://github.com/Shopify/react-native-skia
crazycodeboy,react-native-splash-screen,5.5k,https://github.com/crazycodeboy/react-native-splash-screen
react-native-modal,react-native-modal,5.3k,https://github.com/react-native-modal/react-native-modal
learnapollo,learnapollo,5.2k,https://github.com/learnapollo/learnapollo
benoitvallon,react-native-nw-react-calculator,5.2k,https://github.com/benoitvallon/react-native-nw-react-calculator
gorhom,react-native-bottom-sheet,5.2k,https://github.com/gorhom/react-native-bottom-sheet
satya164,react-native-tab-view,5.1k,https://github.com/satya164/react-native-tab-view
APSL,react-native-keyboard-aware-scroll-view,5.1k,https://github.com/APSL/react-native-keyboard-aware-scroll-view
mrousavy,react-native-vision-camera,5.1k,https://github.com/mrousavy/react-native-vision-camera
Flipkart,recyclerlistview,5k,https://github.com/Flipkart/recyclerlistview
facebook,metro,4.9k,https://github.com/facebook/metro
xinthink,react-native-material-kit,4.8k,https://github.com/xinthink/react-native-material-kit
shoutem,ui,4.8k,https://github.com/shoutem/ui
vhpoet,react-native-styling-cheat-sheet,4.8k,https://github.com/vhpoet/react-native-styling-cheat-sheet
itinance,react-native-fs,4.8k,https://github.com/itinance/react-native-fs
gitpoint,git-point,4.7k,https://github.com/gitpoint/git-point
futurice,pepperoni-app-kit,4.6k,https://github.com/futurice/pepperoni-app-kit
bartonhammond,snowflake,4.6k,https://github.com/bartonhammond/snowflake
unform,unform,4.5k,https://github.com/unform/unform
oliviertassinari,react-swipeable-views,4.4k,https://github.com/oliviertassinari/react-swipeable-views
react-native-webrtc,react-native-webrtc,4.3k,https://github.com/react-native-webrtc/react-native-webrtc
microsoft,code-push,4.3k,https://github.com/microsoft/code-push
mrousavy,react-native-mmkv,4.3k,https://github.com/mrousavy/react-native-mmkv
kdchang,reactjs101,4.2k,https://github.com/kdchang/reactjs101
rcbyr,keen-slider,4.2k,https://github.com/rcbyr/keen-slider
maicki,why-did-you-update,4.1k,https://github.com/maicki/why-did-you-update
thecodingmachine,react-native-boilerplate,4k,https://github.com/thecodingmachine/react-native-boilerplate
crazycodeboy,RNStudyNotes,4k,https://github.com/crazycodeboy/RNStudyNotes
lingui,js-lingui,3.9k,https://github.com/lingui/js-lingui
