Username,Repository,Stars,Repo URL
CyC2018,CS-Notes,168k,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,118k,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,49.7k,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,42.7k,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,41.8k,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,33.6k,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,31.4k,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,31.1k,https://github.com/yuzu-emu/yuzu
huihut,interview,30.7k,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,28.3k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27.8k,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,26.3k,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,24.5k,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21.9k,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,21.3k,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21k,https://github.com/ethereum/solidity
gabime,spdlog,20.3k,https://github.com/gabime/spdlog
microsoft,vcpkg,19.9k,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,18.1k,https://github.com/ssloy/tinyrenderer
AnthonyCalandra,modern-cpp-features,17.7k,https://github.com/AnthonyCalandra/modern-cpp-features
catchorg,Catch2,17.2k,https://github.com/catchorg/Catch2
forthespada,CS-Books,16.3k,https://github.com/forthespada/CS-Books
Qv2ray,Qv2ray,15.8k,https://github.com/Qv2ray/Qv2ray
typesense,typesense,15.5k,https://github.com/typesense/typesense
antlr,antlr4,15.4k,https://github.com/antlr/antlr4
facebook,infer,14.4k,https://github.com/facebook/infer
kyleneideck,BackgroundMusic,14.2k,https://github.com/kyleneideck/BackgroundMusic
Ciphey,Ciphey,14.2k,https://github.com/Ciphey/Ciphey
compiler-explorer,compiler-explorer,14.1k,https://github.com/compiler-explorer/compiler-explorer
