Username,Repository,Stars,Repo URL
facebook,react,214k,https://github.com/facebook/react
vuejs,vue,206k,https://github.com/vuejs/vue
thedaviddias,Front-End-Checklist,66.2k,https://github.com/thedaviddias/Front-End-Checklist
vitejs,vite,60.4k,https://github.com/vitejs/vite
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
dypsilon,frontend-dev-bookmarks,39.4k,https://github.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
ascoders,weekly,25.4k,https://github.com/ascoders/weekly
GitHubDaily,GitHubDaily,24.7k,https://github.com/GitHubDaily/GitHubDaily
haizlin,fe-interview,24.1k,https://github.com/haizlin/fe-interview
iview,iview,24k,https://github.com/iview/iview
expo,expo,23.9k,https://github.com/expo/expo
vueComponent,ant-design-vue,18.8k,https://github.com/vueComponent/ant-design-vue
NaiboWang,EasySpider,17.1k,https://github.com/NaiboWang/EasySpider
nhn,tui.editor,16.4k,https://github.com/nhn/tui.editor
thedaviddias,Front-End-Performance-Checklist,16k,https://github.com/thedaviddias/Front-End-Performance-Checklist
baidu,amis,15k,https://github.com/baidu/amis
tiangolo,full-stack-fastapi-postgresql,13.2k,https://github.com/tiangolo/full-stack-fastapi-postgresql
marko-js,marko,12.8k,https://github.com/marko-js/marko
mdbootstrap,TW-Elements,12.1k,https://github.com/mdbootstrap/TW-Elements
tachyons-css,tachyons,11.5k,https://github.com/tachyons-css/tachyons
nhn,tui.calendar,11.1k,https://github.com/nhn/tui.calendar
cs01,gdbgui,9.4k,https://github.com/cs01/gdbgui
mdbootstrap,material-design-for-bootstrap,9.4k,https://github.com/mdbootstrap/material-design-for-bootstrap
marmelab,gremlins.js,9k,https://github.com/marmelab/gremlins.js
helloqingfeng,Awsome-Front-End-learning-resource,8.9k,https://github.com/helloqingfeng/Awsome-Front-End-learning-resource
moklick,frontend-stuff,8.7k,https://github.com/moklick/frontend-stuff
NG-ZORRO,ng-zorro-antd,8.6k,https://github.com/NG-ZORRO/ng-zorro-antd
Stability-AI,StableStudio,7.7k,https://github.com/Stability-AI/StableStudio
bencodezen,vue-enterprise-boilerplate,7.7k,https://github.com/bencodezen/vue-enterprise-boilerplate
phodal,growth-ebook,7.7k,https://github.com/phodal/growth-ebook
Tencent,Hippy,7.6k,https://github.com/Tencent/Hippy
marionettejs,backbone.marionette,7.1k,https://github.com/marionettejs/backbone.marionette
andrew--r,frontend-case-studies,7.1k,https://github.com/andrew--r/frontend-case-studies
HospitalRun,hospitalrun-frontend,6.8k,https://github.com/HospitalRun/hospitalrun-frontend
zeroclipboard,zeroclipboard,6.6k,https://github.com/zeroclipboard/zeroclipboard
lgwebdream,FE-Interview,6.5k,https://github.com/lgwebdream/FE-Interview
goodjack,developer-roadmap-chinese,6.4k,https://github.com/goodjack/developer-roadmap-chinese
imba,imba,6.1k,https://github.com/imba/imba
BuilderIO,builder,5.8k,https://github.com/BuilderIO/builder
zauberzeug,nicegui,5.6k,https://github.com/zauberzeug/nicegui
papercups-io,papercups,5.4k,https://github.com/papercups-io/papercups
NervJS,nerv,5.4k,https://github.com/NervJS/nerv
FrontEndGitHub,FrontEndGitHub,5.4k,https://github.com/FrontEndGitHub/FrontEndGitHub
rails,webpacker,5.3k,https://github.com/rails/webpacker
mendel5,alternative-front-ends,5k,https://github.com/mendel5/alternative-front-ends
thedaviddias,Front-End-Design-Checklist,4.8k,https://github.com/thedaviddias/Front-End-Design-Checklist
TeamAmaze,AmazeFileManager,4.7k,https://github.com/TeamAmaze/AmazeFileManager
baidu,san,4.7k,https://github.com/baidu/san
reagent-project,reagent,4.7k,https://github.com/reagent-project/reagent
tnfe,TNT-Weekly,4.5k,https://github.com/tnfe/TNT-Weekly
RitikPatni,Front-End-Web-Development-Resources,4.4k,https://github.com/RitikPatni/Front-End-Web-Development-Resources
webhooksite,webhook.site,4.4k,https://github.com/webhooksite/webhook.site
CorentinTh,it-tools,4.3k,https://github.com/CorentinTh/it-tools
frontendbr,forum,4.2k,https://github.com/frontendbr/forum
goq,telegram-list,4.2k,https://github.com/goq/telegram-list
liyupi,code-roadmap,4.2k,https://github.com/liyupi/code-roadmap
FrontendMasters,front-end-handbook-2019,4.1k,https://github.com/FrontendMasters/front-end-handbook-2019
sadanandpai,javascript-code-challenges,3.9k,https://github.com/sadanandpai/javascript-code-challenges
bansal,pattern.css,3.8k,https://github.com/bansal/pattern.css
imcuttle,mometa,3.8k,https://github.com/imcuttle/mometa
wmonk,create-react-app-typescript,3.7k,https://github.com/wmonk/create-react-app-typescript
liyupi,mianshiya-public,3.7k,https://github.com/liyupi/mianshiya-public
FortAwesome,react-fontawesome,3.6k,https://github.com/FortAwesome/react-fontawesome
alienzhou,frontend-tech-list,3.6k,https://github.com/alienzhou/frontend-tech-list
WeMakeDevs,roadmaps,3.6k,https://github.com/WeMakeDevs/roadmaps
markusschanta,awesome-jupyter,3.5k,https://github.com/markusschanta/awesome-jupyter
sadanandpai,frontend-learning-kit,3.5k,https://github.com/sadanandpai/frontend-learning-kit
GoogleChromeLabs,webpack-libs-optimizations,3.3k,https://github.com/GoogleChromeLabs/webpack-libs-optimizations
home-assistant,frontend,3.3k,https://github.com/home-assistant/frontend
think2011,localResizeIMG,3.2k,https://github.com/think2011/localResizeIMG
twbs,rfs,3.2k,https://github.com/twbs/rfs
hepengwei,visualization-collection,3.2k,https://github.com/hepengwei/visualization-collection
eludadev,ui-buttons,3.2k,https://github.com/eludadev/ui-buttons
idiotWu,smooth-scrollbar,3.2k,https://github.com/idiotWu/smooth-scrollbar
KingSora,OverlayScrollbars,3.1k,https://github.com/KingSora/OverlayScrollbars
redux-orm,redux-orm,3k,https://github.com/redux-orm/redux-orm
cheatsheet1999,FrontEndCollection,3k,https://github.com/cheatsheet1999/FrontEndCollection
Chalarangelo,mini.css,2.9k,https://github.com/Chalarangelo/mini.css
plasmicapp,plasmic,2.8k,https://github.com/plasmicapp/plasmic
sl1673495,blogs,2.8k,https://github.com/sl1673495/blogs
hop-protocol,hop,2.8k,https://github.com/hop-protocol/hop
arthurspk,guiadofrontend,2.7k,https://github.com/arthurspk/guiadofrontend
azl397985856,fe-interview,2.7k,https://github.com/azl397985856/fe-interview
pod4g,hiper,2.7k,https://github.com/pod4g/hiper
neomjs,neo,2.7k,https://github.com/neomjs/neo
liyupi,free-programming-resources,2.7k,https://github.com/liyupi/free-programming-resources
hexops,vecty,2.7k,https://github.com/hexops/vecty
view-design,ViewUI,2.6k,https://github.com/view-design/ViewUI
luruke,awesome-casestudy,2.5k,https://github.com/luruke/awesome-casestudy
liyupi,code-nav,2.5k,https://github.com/liyupi/code-nav
phodal,growth-in-action,2.5k,https://github.com/phodal/growth-in-action
Wisser,Jailer,2.5k,https://github.com/Wisser/Jailer
javierbyte,img2css,2.5k,https://github.com/javierbyte/img2css
open-source-labs,OverVue,2.4k,https://github.com/open-source-labs/OverVue
survivejs,webpack-book,2.4k,https://github.com/survivejs/webpack-book
FortAwesome,vue-fontawesome,2.4k,https://github.com/FortAwesome/vue-fontawesome
getmeli,meli,2.4k,https://github.com/getmeli/meli
rtivital,omatsuri,2.3k,https://github.com/rtivital/omatsuri
