Username,Repository,Stars,Repo URL
ohmyzsh,ohmyzsh,163k,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,54.8k,https://github.com/junegunn/fzf
sherlock-project,sherlock,43.9k,https://github.com/sherlock-project/sherlock
sharkdp,bat,43.4k,https://github.com/sharkdp/bat
BurntSushi,ripgrep,40.5k,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,39.5k,https://github.com/jesseduffield/lazygit
wagoodman,dive,38.8k,https://github.com/wagoodman/dive
chubin,cheat.sh,36.2k,https://github.com/chubin/cheat.sh
n8n-io,n8n,34.4k,https://github.com/n8n-io/n8n
spf13,cobra,33.7k,https://github.com/spf13/cobra
cli,cli,33.5k,https://github.com/cli/cli
httpie,cli,29.7k,https://github.com/httpie/cli
sharkdp,fd,29.1k,https://github.com/sharkdp/fd
alebcay,awesome-shell,28.8k,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28.2k,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27.4k,https://github.com/acheong08/ChatGPT
angular,angular-cli,26.2k,https://github.com/angular/angular-cli
tqdm,tqdm,26k,https://github.com/tqdm/tqdm
google,python-fire,25.4k,https://github.com/google/python-fire
vadimdemedes,ink,24.7k,https://github.com/vadimdemedes/ink
vadimdemedes,ink,24.7k,https://github.com/vadimdemedes/ink
vercel,pkg,23.8k,https://github.com/vercel/pkg
withfig,autocomplete,23.2k,https://github.com/withfig/autocomplete
Textualize,textual,21.7k,https://github.com/Textualize/textual
urfave,cli,20.8k,https://github.com/urfave/cli
chalk,chalk,20.8k,https://github.com/chalk/chalk
avajs,ava,20.5k,https://github.com/avajs/ava
t3-oss,create-t3-app,20.2k,https://github.com/t3-oss/create-t3-app
charmbracelet,bubbletea,20.1k,https://github.com/charmbracelet/bubbletea
gpakosz,.tmux,20k,https://github.com/gpakosz/.tmux
nrwl,nx,19.7k,https://github.com/nrwl/nx
svg,svgo,19.7k,https://github.com/svg/svgo
asdf-vm,asdf,18.8k,https://github.com/asdf-vm/asdf
SBoudrias,Inquirer.js,18.7k,https://github.com/SBoudrias/Inquirer.js
sharkdp,hyperfine,17.6k,https://github.com/sharkdp/hyperfine
antonmedv,fx,17.5k,https://github.com/antonmedv/fx
jarun,nnn,17.2k,https://github.com/jarun/nnn
allinurl,goaccess,16.7k,https://github.com/allinurl/goaccess
infinitered,ignite,15.8k,https://github.com/infinitered/ignite
Rigellute,spotify-tui,15.6k,https://github.com/Rigellute/spotify-tui
pallets,click,14.4k,https://github.com/pallets/click
FormidableLabs,webpack-dashboard,13.9k,https://github.com/FormidableLabs/webpack-dashboard
sorin-ionescu,prezto,13.6k,https://github.com/sorin-ionescu/prezto
denisidoro,navi,13.5k,https://github.com/denisidoro/navi
charmbracelet,glow,13.4k,https://github.com/charmbracelet/glow
pomber,git-history,13.4k,https://github.com/pomber/git-history
agarrharr,awesome-cli-apps,12.5k,https://github.com/agarrharr/awesome-cli-apps
nexe,nexe,12.4k,https://github.com/nexe/nexe
tiangolo,typer,12.2k,https://github.com/tiangolo/typer
gildas-lormeau,SingleFile,12.2k,https://github.com/gildas-lormeau/SingleFile
ajeetdsouza,zoxide,12.2k,https://github.com/ajeetdsouza/zoxide
asciinema,asciinema,12k,https://github.com/asciinema/asciinema
charmbracelet,vhs,12k,https://github.com/charmbracelet/vhs
beetbox,beets,12k,https://github.com/beetbox/beets
muesli,duf,11.6k,https://github.com/muesli/duf
vercel,vercel,11.3k,https://github.com/vercel/vercel
qeeqbox,social-analyzer,10.6k,https://github.com/qeeqbox/social-analyzer
kefranabg,readme-md-generator,10.6k,https://github.com/kefranabg/readme-md-generator
squizlabs,PHP_CodeSniffer,10.4k,https://github.com/squizlabs/PHP_CodeSniffer
asciimoo,wuzz,10.4k,https://github.com/asciimoo/wuzz
harelba,q,10k,https://github.com/harelba/q
Infisical,infisical,9.9k,https://github.com/Infisical/infisical
JustArchiNET,ArchiSteamFarm,9.8k,https://github.com/JustArchiNET/ArchiSteamFarm
nbedos,termtosvg,9.6k,https://github.com/nbedos/termtosvg
BurntSushi,xsv,9.6k,https://github.com/BurntSushi/xsv
symfony,console,9.6k,https://github.com/symfony/console
bobthecow,psysh,9.6k,https://github.com/bobthecow/psysh
mikefarah,yq,9.5k,https://github.com/mikefarah/yq
rgcr,m-cli,9.5k,https://github.com/rgcr/m-cli
orf,gping,9.4k,https://github.com/orf/gping
streamlink,streamlink,9.1k,https://github.com/streamlink/streamlink
XAMPPRocky,tokei,8.9k,https://github.com/XAMPPRocky/tokei
wader,fq,8.9k,https://github.com/wader/fq
vercel,serve,8.9k,https://github.com/vercel/serve
klaudiosinani,signale,8.8k,https://github.com/klaudiosinani/signale
klaudiosinani,taskbook,8.8k,https://github.com/klaudiosinani/taskbook
httpie,http-prompt,8.8k,https://github.com/httpie/http-prompt
guarinogabriel,Mac-CLI,8.6k,https://github.com/guarinogabriel/Mac-CLI
oclif,oclif,8.6k,https://github.com/oclif/oclif
o2sh,onefetch,8.3k,https://github.com/o2sh/onefetch
imsnif,bandwhich,8.2k,https://github.com/imsnif/bandwhich
terkelg,prompts,8.2k,https://github.com/terkelg/prompts
99designs,aws-vault,7.8k,https://github.com/99designs/aws-vault
ClementTsang,bottom,7.7k,https://github.com/ClementTsang/bottom
projectdiscovery,katana,7.6k,https://github.com/projectdiscovery/katana
voidcosmos,npkill,7.5k,https://github.com/voidcosmos/npkill
svenstaro,genact,7.5k,https://github.com/svenstaro/genact
donnemartin,gitsome,7.5k,https://github.com/donnemartin/gitsome
bitwarden,clients,7.3k,https://github.com/bitwarden/clients
xonsh,xonsh,7.3k,https://github.com/xonsh/xonsh
conventional-changelog,standard-version,7.3k,https://github.com/conventional-changelog/standard-version
enquirer,enquirer,7.3k,https://github.com/enquirer/enquirer
PipedreamHQ,pipedream,7.3k,https://github.com/PipedreamHQ/pipedream
sindresorhus,np,7.2k,https://github.com/sindresorhus/np
gruntwork-io,terragrunt,7.2k,https://github.com/gruntwork-io/terragrunt
ekzhang,bore,7.2k,https://github.com/ekzhang/bore
pypa,pipx,7k,https://github.com/pypa/pipx
release-it,release-it,7k,https://github.com/release-it/release-it
Byron,gitoxide,7k,https://github.com/Byron/gitoxide
saulpw,visidata,6.9k,https://github.com/saulpw/visidata
