Username,Repository,Stars,Repo URL
macrozheng,mall,70.5k,https://github.com/macrozheng/mall
netdata,netdata,65.4k,https://github.com/netdata/netdata
meteor,meteor,43.8k,https://github.com/meteor/meteor
0voice,interview_internal_reference,35.5k,https://github.com/0voice/interview_internal_reference
prisma,prisma,34.1k,https://github.com/prisma/prisma
ityouknow,spring-boot-examples,29.4k,https://github.com/ityouknow/spring-boot-examples
Asabeneh,30-Days-Of-Python,26.5k,https://github.com/Asabeneh/30-Days-Of-Python
Automattic,mongoose,26.1k,https://github.com/Automattic/mongoose
mongodb,mongo,24.5k,https://github.com/mongodb/mongo
parse-community,parse-server,20.4k,https://github.com/parse-community/parse-server
mindsdb,mindsdb,18.1k,https://github.com/mindsdb/mindsdb
mouredev,Hello-Python,16.3k,https://github.com/mouredev/Hello-Python
nswbmw,N-blog,15.3k,https://github.com/nswbmw/N-blog
NodeBB,NodeBB,13.6k,https://github.com/NodeBB/NodeBB
payloadcms,payload,12.4k,https://github.com/payloadcms/payload
golang-migrate,migrate,12.4k,https://github.com/golang-migrate/migrate
macrozheng,mall-learning,12.4k,https://github.com/macrozheng/mall-learning
linnovate,mean,12.2k,https://github.com/linnovate/mean
bailicangdu,node-elm,12.1k,https://github.com/bailicangdu/node-elm
reactioncommerce,reaction,12.1k,https://github.com/reactioncommerce/reaction
macrozheng,mall-swarm,10.7k,https://github.com/macrozheng/mall-swarm
HabitRPG,habitica,10.6k,https://github.com/HabitRPG/habitica
mongodb,node-mongodb-native,9.9k,https://github.com/mongodb/node-mongodb-native
agenda,agenda,9k,https://github.com/agenda/agenda
coollabsio,coolify,9k,https://github.com/coollabsio/coolify
FerretDB,FerretDB,7.7k,https://github.com/FerretDB/FerretDB
mongodb,mongo-go-driver,7.7k,https://github.com/mongodb/mongo-go-driver
digoal,blog,7.6k,https://github.com/digoal/blog
SoftwareBrothers,adminjs,7.4k,https://github.com/SoftwareBrothers/adminjs
RichardKnop,machinery,7k,https://github.com/RichardKnop/machinery
bytebase,bytebase,7k,https://github.com/bytebase/bytebase
pyeve,eve,6.6k,https://github.com/pyeve/eve
mongodb,laravel-mongodb,6.6k,https://github.com/mongodb/laravel-mongodb
samuelclay,NewsBlur,6.5k,https://github.com/samuelclay/NewsBlur
mikro-orm,mikro-orm,6.5k,https://github.com/mikro-orm/mikro-orm
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
donnemartin,dev-setup,6k,https://github.com/donnemartin/dev-setup
yinxin630,fiora,5.9k,https://github.com/yinxin630/fiora
hagopj13,node-express-boilerplate,5.8k,https://github.com/hagopj13/node-express-boilerplate
labring,laf,5.8k,https://github.com/labring/laf
santiq,bulletproof-nodejs,5.2k,https://github.com/santiq/bulletproof-nodejs
openblocks-dev,openblocks,5.1k,https://github.com/openblocks-dev/openblocks
mongo-express,mongo-express,5.1k,https://github.com/mongo-express/mongo-express
madhums,node-express-mongoose-demo,5.1k,https://github.com/madhums/node-express-mongoose-demo
FAQGURU,FAQGURU,5k,https://github.com/FAQGURU/FAQGURU
EddieHubCommunity,BioDrop,4.8k,https://github.com/EddieHubCommunity/BioDrop
backup,backup,4.8k,https://github.com/backup/backup
adrianhajdin,project_mern_memories,4.7k,https://github.com/adrianhajdin/project_mern_memories
IDSIA,sacred,4.1k,https://github.com/IDSIA/sacred
MongoEngine,mongoengine,4.1k,https://github.com/MongoEngine/mongoengine
