Username,Repository,Stars,Repo URL
hoppscotch,hoppscotch,55.3k,https://github.com/hoppscotch/hoppscotch
nocodb,nocodb,38.1k,https://github.com/nocodb/nocodb
Kong,insomnia,31k,https://github.com/Kong/insomnia
hasura,graphql-engine,30.2k,https://github.com/hasura/graphql-engine
httpie,cli,29.5k,https://github.com/httpie/cli
gofiber,fiber,28.7k,https://github.com/gofiber/fiber
zeromicro,go-zero,25.6k,https://github.com/zeromicro/go-zero
swagger-api,swagger-ui,24.6k,https://github.com/swagger-api/swagger-ui
microsoft,api-guidelines,21.9k,https://github.com/microsoft/api-guidelines
parse-community,parse-server,20.4k,https://github.com/parse-community/parse-server
OpenAPITools,openapi-generator,17.8k,https://github.com/OpenAPITools/openapi-generator
makeplane,plane,17.6k,https://github.com/makeplane/plane
grpc-ecosystem,grpc-gateway,16.1k,https://github.com/grpc-ecosystem/grpc-gateway
swagger-api,swagger-codegen,16k,https://github.com/swagger-api/swagger-codegen
go-chi,chi,15.5k,https://github.com/go-chi/chi
binwiederhier,ntfy,14.2k,https://github.com/binwiederhier/ntfy
restify,node-restify,10.7k,https://github.com/restify/node-restify
r-spacex,SpaceX-API,10k,https://github.com/r-spacex/SpaceX-API
dotnet-architecture,eShopOnWeb,9.2k,https://github.com/dotnet-architecture/eShopOnWeb
kgrzybek,modular-monolith-with-ddd,9k,https://github.com/kgrzybek/modular-monolith-with-ddd
httpie,http-prompt,8.8k,https://github.com/httpie/http-prompt
cakephp,cakephp,8.7k,https://github.com/cakephp/cakephp
swagger-api,swagger-editor,8.4k,https://github.com/swagger-api/swagger-editor
Sylius,Sylius,7.5k,https://github.com/Sylius/Sylius
swagger-api,swagger-core,7.3k,https://github.com/swagger-api/swagger-core
javalin,javalin,6.8k,https://github.com/javalin/javalin
rest-assured,rest-assured,6.5k,https://github.com/rest-assured/rest-assured
frappe,frappe,5.9k,https://github.com/frappe/frappe
hagopj13,node-express-boilerplate,5.8k,https://github.com/hagopj13/node-express-boilerplate
mockoon,mockoon,5.4k,https://github.com/mockoon/mockoon
openblocks-dev,openblocks,5.1k,https://github.com/openblocks-dev/openblocks
TencentBlueKing,bk-cmdb,5.1k,https://github.com/TencentBlueKing/bk-cmdb
vitalik,django-ninja,5k,https://github.com/vitalik/django-ninja
aisuhua,restful-api-design-references,5k,https://github.com/aisuhua/restful-api-design-references
Huachao,vscode-restclient,4.6k,https://github.com/Huachao/vscode-restclient
postlight,headless-wp-starter,4.4k,https://github.com/postlight/headless-wp-starter
dpgaspar,Flask-AppBuilder,4.3k,https://github.com/dpgaspar/Flask-AppBuilder
deepmap,oapi-codegen,4.2k,https://github.com/deepmap/oapi-codegen
ahkarami,Deep-Learning-in-Production,4.1k,https://github.com/ahkarami/Deep-Learning-in-Production
swagger-api,swagger-node,4k,https://github.com/swagger-api/swagger-node
prest,prest,3.9k,https://github.com/prest/prest
discord-jda,JDA,3.9k,https://github.com/discord-jda/JDA
azat-co,practicalnode,3.8k,https://github.com/azat-co/practicalnode
stylefeng,Guns,3.7k,https://github.com/stylefeng/Guns
dunglas,vulcain,3.4k,https://github.com/dunglas/vulcain
mevdschee,php-crud-api,3.4k,https://github.com/mevdschee/php-crud-api
APIs-guru,openapi-directory,3.4k,https://github.com/APIs-guru/openapi-directory
flasgger,flasgger,3.4k,https://github.com/flasgger/flasgger
exadel-inc,CompreFace,3.3k,https://github.com/exadel-inc/CompreFace
axnsan12,drf-yasg,3.2k,https://github.com/axnsan12/drf-yasg
apache,linkis,3.1k,https://github.com/apache/linkis
datarhei,restreamer,3.1k,https://github.com/datarhei/restreamer
Urigo,graphql-mesh,3k,https://github.com/Urigo/graphql-mesh
denji,awesome-http-benchmark,3k,https://github.com/denji/awesome-http-benchmark
