Username,Repository,Stars,Repo URL
d3,d3,106k,https://github.com/d3/d3
netdata,netdata,65.5k,https://github.com/netdata/netdata
grafana,grafana,57.6k,https://github.com/grafana/grafana
apache,echarts,56.6k,https://github.com/apache/echarts
apache,superset,54.8k,https://github.com/apache/superset
pixijs,pixijs,41.1k,https://github.com/pixijs/pixijs
metabase,metabase,34.6k,https://github.com/metabase/metabase
streamlit,streamlit,27.9k,https://github.com/streamlit/streamlit
directus,directus,23.4k,https://github.com/directus/directus
microsoft,Data-Science-For-Beginners,22.7k,https://github.com/microsoft/Data-Science-For-Beginners
gradio-app,gradio,22.7k,https://github.com/gradio-app/gradio
academic,awesome-datascience,22k,https://github.com/academic/awesome-datascience
plotly,dash,19.5k,https://github.com/plotly/dash
matplotlib,matplotlib,18.3k,https://github.com/matplotlib/matplotlib
airbnb,visx,17.9k,https://github.com/airbnb/visx
plotly,plotly.js,16k,https://github.com/plotly/plotly.js
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
dataease,dataease,13.1k,https://github.com/dataease/dataease
apexcharts,apexcharts.js,12.9k,https://github.com/apexcharts/apexcharts.js
newTendermint,awesome-bigdata,12.4k,https://github.com/newTendermint/awesome-bigdata
terkelg,awesome-creative-coding,11.5k,https://github.com/terkelg/awesome-creative-coding
mwaskom,seaborn,11.2k,https://github.com/mwaskom/seaborn
visgl,deck.gl,11.2k,https://github.com/visgl/deck.gl
FormidableLabs,victory,10.5k,https://github.com/FormidableLabs/victory
antvis,G6,10.3k,https://github.com/antvis/G6
keplergl,kepler.gl,9.7k,https://github.com/keplergl/kepler.gl
c3js,c3,9.3k,https://github.com/c3js/c3
uber,react-vis,8.6k,https://github.com/uber/react-vis
rawgraphs,rawgraphs-app,8.5k,https://github.com/rawgraphs/rawgraphs-app
leeoniya,uPlot,8.1k,https://github.com/leeoniya/uPlot
antvis,F2,7.8k,https://github.com/antvis/F2
visgl,react-map-gl,7.3k,https://github.com/visgl/react-map-gl
PAIR-code,facets,7.2k,https://github.com/PAIR-code/facets
NorthwoodsSoftware,GoJS,7.1k,https://github.com/NorthwoodsSoftware/GoJS
finos,perspective,6.8k,https://github.com/finos/perspective
sourcerer-io,sourcerer-app,6.7k,https://github.com/sourcerer-io/sourcerer-app
jwilber,roughViz,6.5k,https://github.com/jwilber/roughViz
python-visualization,folium,6.4k,https://github.com/python-visualization/folium
microsoft,SandDance,6.1k,https://github.com/microsoft/SandDance
reactchartjs,react-chartjs-2,6.1k,https://github.com/reactchartjs/react-chartjs-2
alibaba,BizCharts,6.1k,https://github.com/alibaba/BizCharts
pa7,heatmap.js,6.1k,https://github.com/pa7/heatmap.js
ChartsCSS,charts.css,5.9k,https://github.com/ChartsCSS/charts.css
Live-Charts,Live-Charts,5.4k,https://github.com/Live-Charts/Live-Charts
nhn,tui.chart,5.3k,https://github.com/nhn/tui.chart
asmuth,clip,5.1k,https://github.com/asmuth/clip
yyhsong,iDataV,4.9k,https://github.com/yyhsong/iDataV
edp963,davinci,4.8k,https://github.com/edp963/davinci
Jannchie,Historical-ranking-data-visualization-based-on-d3.js,4.7k,https://github.com/Jannchie/Historical-ranking-data-visualization-based-on-d3.js
Nyandwi,machine_learning_complete,4.3k,https://github.com/Nyandwi/machine_learning_complete
biolab,orange3,4.3k,https://github.com/biolab/orange3
man-group,dtale,4.3k,https://github.com/man-group/dtale
aimhubio,aim,4.3k,https://github.com/aimhubio/aim
r0f1,datascience,3.9k,https://github.com/r0f1/datascience
vasturiano,3d-force-graph,3.9k,https://github.com/vasturiano/3d-force-graph
ScottPlot,ScottPlot,3.9k,https://github.com/ScottPlot/ScottPlot
khuyentran1401,Data-science,3.8k,https://github.com/khuyentran1401/Data-science
britecharts,britecharts,3.7k,https://github.com/britecharts/britecharts
ResidentMario,missingno,3.7k,https://github.com/ResidentMario/missingno
markusschanta,awesome-jupyter,3.5k,https://github.com/markusschanta/awesome-jupyter
mljar,mercury,3.5k,https://github.com/mljar/mercury
Kanaries,Rath,3.5k,https://github.com/Kanaries/Rath
alandefreitas,matplotplusplus,3.5k,https://github.com/alandefreitas/matplotplusplus
javierluraschi,awesome-dataviz,3.4k,https://github.com/javierluraschi/awesome-dataviz
beto-rodriguez,LiveCharts2,3.4k,https://github.com/beto-rodriguez/LiveCharts2
observablehq,plot,3.4k,https://github.com/observablehq/plot
jtablesaw,tablesaw,3.3k,https://github.com/jtablesaw/tablesaw
hemansnation,God-Level-Data-Science-ML-Full-Stack,3.3k,https://github.com/hemansnation/God-Level-Data-Science-ML-Full-Stack
data-observe,datav,3.3k,https://github.com/data-observe/datav
polakowo,vectorbt,3.2k,https://github.com/polakowo/vectorbt
antvis,L7,3.2k,https://github.com/antvis/L7
ml-tooling,ml-workspace,3.2k,https://github.com/ml-tooling/ml-workspace
electricitymaps,electricitymaps-contrib,3.1k,https://github.com/electricitymaps/electricitymaps-contrib
TuiQiao,CBoard,3k,https://github.com/TuiQiao/CBoard
lightdash,lightdash,2.9k,https://github.com/lightdash/lightdash
rougier,matplotlib-cheatsheet,2.9k,https://github.com/rougier/matplotlib-cheatsheet
yihong0618,running_page,2.8k,https://github.com/yihong0618/running_page
multiprocessio,datastation,2.8k,https://github.com/multiprocessio/datastation
nikolaydubina,go-recipes,2.8k,https://github.com/nikolaydubina/go-recipes
radzenhq,radzen-blazor,2.8k,https://github.com/radzenhq/radzen-blazor
XCharts-Team,XCharts,2.7k,https://github.com/XCharts-Team/XCharts
TalkingData,inmap,2.7k,https://github.com/TalkingData/inmap
seandavi,awesome-single-cell,2.7k,https://github.com/seandavi/awesome-single-cell
fbdesignpro,sweetviz,2.6k,https://github.com/fbdesignpro/sweetviz
unsplash,react-trend,2.5k,https://github.com/unsplash/react-trend
plotly,plotly.R,2.4k,https://github.com/plotly/plotly.R
evidence-dev,evidence,2.4k,https://github.com/evidence-dev/evidence
nteract,semiotic,2.4k,https://github.com/nteract/semiotic
Hedgehog-Computing,hedgehog-lab,2.4k,https://github.com/Hedgehog-Computing/hedgehog-lab
AAChartModel,AAChartKit-Swift,2.3k,https://github.com/AAChartModel/AAChartKit-Swift
Moataz-Elmesmary,Data-Science-Roadmap,2.3k,https://github.com/Moataz-Elmesmary/Data-Science-Roadmap
visgl,luma.gl,2.2k,https://github.com/visgl/luma.gl
AnyChart,AnyChart-Android,2.1k,https://github.com/AnyChart/AnyChart-Android
krzjoa,awesome-python-data-science,2.1k,https://github.com/krzjoa/awesome-python-data-science
weijie-chen,Linear-Algebra-With-Python,2k,https://github.com/weijie-chen/Linear-Algebra-With-Python
DKirwan,calendar-heatmap,2k,https://github.com/DKirwan/calendar-heatmap
FormidableLabs,victory-native,2k,https://github.com/FormidableLabs/victory-native
mito-ds,mito,2k,https://github.com/mito-ds/mito
tabixio,tabix,2k,https://github.com/tabixio/tabix
chartbrew,chartbrew,2k,https://github.com/chartbrew/chartbrew
