Username,Repository,Stars,Repo URL
bregman-arie,devops-exercises,58.4k,https://github.com/bregman-arie/devops-exercises
localstack,localstack,49.4k,https://github.com/localstack/localstack
serverless,serverless,45.2k,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,17.9k,https://github.com/sst/sst
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14.5k,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,14.3k,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14.3k,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13.9k,https://github.com/getsops/sops
donnemartin,awesome-aws,11.8k,https://github.com/donnemartin/awesome-aws
caprover,caprover,11.1k,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10.9k,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10.6k,https://github.com/aws/aws-cdk
apereo,cas,10.3k,https://github.com/apereo/cas
aws,chalice,10k,https://github.com/aws/chalice
infracost,infracost,9.6k,https://github.com/infracost/infracost
aws-amplify,amplify-js,9.3k,https://github.com/aws-amplify/amplify-js
google,go-cloud,9.2k,https://github.com/google/go-cloud
aws,serverless-application-model,9.1k,https://github.com/aws/serverless-application-model
aws,amazon-sagemaker-examples,8.9k,https://github.com/aws/amazon-sagemaker-examples
hashicorp,terraform-provider-aws,8.9k,https://github.com/hashicorp/terraform-provider-aws
apex,up,8.7k,https://github.com/apex/up
prowler-cloud,prowler,8.7k,https://github.com/prowler-cloud/prowler
aws,aws-sdk-go,8.4k,https://github.com/aws/aws-sdk-go
boto,boto3,8.3k,https://github.com/boto/boto3
awsdocs,aws-doc-sdk-examples,8.2k,https://github.com/awsdocs/aws-doc-sdk-examples
99designs,aws-vault,7.8k,https://github.com/99designs/aws-vault
bregman-arie,devops-resources,7.8k,https://github.com/bregman-arie/devops-resources
geerlingguy,ansible-for-devops,7.5k,https://github.com/geerlingguy/ansible-for-devops
