Username,Repository,Stars,Repo URL
huggingface,transformers,113k,https://github.com/huggingface/transformers
apachecn,ailearning,36.6k,https://github.com/apachecn/ailearning
google-research,bert,35.5k,https://github.com/google-research/bert
hankcs,HanLP,30.5k,https://github.com/hankcs/HanLP
explosion,spaCy,27.3k,https://github.com/explosion/spaCy
microsoft,AI-For-Beginners,17.8k,https://github.com/microsoft/AI-For-Beginners
huggingface,datasets,17.3k,https://github.com/huggingface/datasets
RasaHQ,rasa,17.1k,https://github.com/RasaHQ/rasa
microsoft,unilm,15.9k,https://github.com/microsoft/unilm
oxford-cs-deepnlp-2017,lectures,15.5k,https://github.com/oxford-cs-deepnlp-2017/lectures
keon,awesome-nlp,15.3k,https://github.com/keon/awesome-nlp
ymcui,Chinese-LLaMA-Alpaca,14.9k,https://github.com/ymcui/Chinese-LLaMA-Alpaca
RaRe-Technologies,gensim,14.7k,https://github.com/RaRe-Technologies/gensim
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
bharathgs,Awesome-pytorch-list,14.5k,https://github.com/bharathgs/Awesome-pytorch-list
NLP-LOVE,ML-NLP,14.3k,https://github.com/NLP-LOVE/ML-NLP
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,13.5k,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
virgili0,Virgilio,13.5k,https://github.com/virgili0/Virgilio
flairNLP,flair,13.1k,https://github.com/flairNLP/flair
graykode,nlp-tutorial,13.1k,https://github.com/graykode/nlp-tutorial
nltk,nltk,12.4k,https://github.com/nltk/nltk
PaddlePaddle,PaddleHub,12.2k,https://github.com/PaddlePaddle/PaddleHub
allenai,allennlp,11.6k,https://github.com/allenai/allennlp
NVIDIA,DeepLearningExamples,11.6k,https://github.com/NVIDIA/DeepLearningExamples
dair-ai,ML-YouTube-Courses,11.4k,https://github.com/dair-ai/ML-YouTube-Courses
deepset-ai,haystack,11.2k,https://github.com/deepset-ai/haystack
botpress,botpress,11.1k,https://github.com/botpress/botpress
spencermountain,compromise,10.9k,https://github.com/spencermountain/compromise
PaddlePaddle,PaddleNLP,10.3k,https://github.com/PaddlePaddle/PaddleNLP
chiphuyen,stanford-tensorflow-tutorials,10.3k,https://github.com/chiphuyen/stanford-tensorflow-tutorials
stanfordnlp,CoreNLP,9.2k,https://github.com/stanfordnlp/CoreNLP
AI4Finance-Foundation,FinGPT,9k,https://github.com/AI4Finance-Foundation/FinGPT
ymcui,Chinese-BERT-wwm,8.8k,https://github.com/ymcui/Chinese-BERT-wwm
brightmart,nlp_chinese_corpus,8.7k,https://github.com/brightmart/nlp_chinese_corpus
sloria,TextBlob,8.7k,https://github.com/sloria/TextBlob
NVIDIA,NeMo,8.2k,https://github.com/NVIDIA/NeMo
jadore801120,attention-is-all-you-need-pytorch,7.9k,https://github.com/jadore801120/attention-is-all-you-need-pytorch
bigscience-workshop,petals,7.7k,https://github.com/bigscience-workshop/petals
huggingface,tokenizers,7.7k,https://github.com/huggingface/tokenizers
brightmart,text_classification,7.6k,https://github.com/brightmart/text_classification
crownpku,Awesome-Chinese-NLP,7.5k,https://github.com/crownpku/Awesome-Chinese-NLP
tangyudi,Ai-Learn,7.3k,https://github.com/tangyudi/Ai-Learn
Morizeyao,GPT2-Chinese,7.2k,https://github.com/Morizeyao/GPT2-Chinese
PaddlePaddle,models,6.8k,https://github.com/PaddlePaddle/models
stanfordnlp,stanza,6.8k,https://github.com/stanfordnlp/stanza
thunlp,WantWords,6.8k,https://github.com/thunlp/WantWords
Mooler0410,LLMsPracticalGuide,6.7k,https://github.com/Mooler0410/LLMsPracticalGuide
deeppavlov,DeepPavlov,6.4k,https://github.com/deeppavlov/DeepPavlov
NLPchina,ansj_seg,6.4k,https://github.com/NLPchina/ansj_seg
dragen1860,TensorFlow-2.x-Tutorials,6.3k,https://github.com/dragen1860/TensorFlow-2.x-Tutorials
MycroftAI,mycroft-core,6.3k,https://github.com/MycroftAI/mycroft-core
microsoft,nlp-recipes,6.3k,https://github.com/microsoft/nlp-recipes
nfmcclure,tensorflow_cookbook,6.1k,https://github.com/nfmcclure/tensorflow_cookbook
zihangdai,xlnet,6.1k,https://github.com/zihangdai/xlnet
PaddlePaddle,ERNIE,6k,https://github.com/PaddlePaddle/ERNIE
axa-group,nlp.js,5.9k,https://github.com/axa-group/nlp.js
haifengl,smile,5.8k,https://github.com/haifengl/smile
codertimo,BERT-pytorch,5.7k,https://github.com/codertimo/BERT-pytorch
jessevig,bertviz,5.7k,https://github.com/jessevig/bertviz
huggingface,text-generation-inference,5.5k,https://github.com/huggingface/text-generation-inference
vi3k6i5,flashtext,5.5k,https://github.com/vi3k6i5/flashtext
axa-group,Parsr,5.4k,https://github.com/axa-group/Parsr
neuml,txtai,5.2k,https://github.com/neuml/txtai
aisingapore,TagUI,5.1k,https://github.com/aisingapore/TagUI
dair-ai,ML-Papers-of-the-Week,5k,https://github.com/dair-ai/ML-Papers-of-the-Week
chatopera,Synonyms,4.9k,https://github.com/chatopera/Synonyms
MaartenGr,BERTopic,4.8k,https://github.com/MaartenGr/BERTopic
openvinotoolkit,openvino,4.8k,https://github.com/openvinotoolkit/openvino
dsdanielpark,Bard-API,4.6k,https://github.com/dsdanielpark/Bard-API
HIT-SCIR,ltp,4.6k,https://github.com/HIT-SCIR/ltp
clovaai,donut,4.6k,https://github.com/clovaai/donut
spro,practical-pytorch,4.5k,https://github.com/spro/practical-pytorch
ymcui,Chinese-LLaMA-Alpaca-2,4.4k,https://github.com/ymcui/Chinese-LLaMA-Alpaca-2
modelscope,modelscope,4.4k,https://github.com/modelscope/modelscope
Nyandwi,machine_learning_complete,4.3k,https://github.com/Nyandwi/machine_learning_complete
makcedward,nlpaug,4.1k,https://github.com/makcedward/nlpaug
dsgiitr,d2l-pytorch,4.1k,https://github.com/dsgiitr/d2l-pytorch
bentrevett,pytorch-sentiment-analysis,4k,https://github.com/bentrevett/pytorch-sentiment-analysis
wooorm,franc,3.9k,https://github.com/wooorm/franc
SkalskiP,courses,3.8k,https://github.com/SkalskiP/courses
errata-ai,vale,3.8k,https://github.com/errata-ai/vale
snipsco,snips-nlu,3.8k,https://github.com/snipsco/snips-nlu
openvenues,libpostal,3.8k,https://github.com/openvenues/libpostal
thunlp,OpenPrompt,3.8k,https://github.com/thunlp/OpenPrompt
trigaten,Learn_Prompting,3.8k,https://github.com/trigaten/Learn_Prompting
SCIR-HI,Huatuo-Llama-Med-Chinese,3.7k,https://github.com/SCIR-HI/Huatuo-Llama-Med-Chinese
TrickyGo,Dive-into-DL-TensorFlow2.0,3.7k,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
thunlp,PromptPapers,3.6k,https://github.com/thunlp/PromptPapers
dalinvip,Awesome-ChatGPT,3.5k,https://github.com/dalinvip/Awesome-ChatGPT
CLUEbenchmark,CLUEDatasetSearch,3.5k,https://github.com/CLUEbenchmark/CLUEDatasetSearch
JohnSnowLabs,spark-nlp,3.5k,https://github.com/JohnSnowLabs/spark-nlp
HqWu-HITCS,Awesome-Chinese-LLM,3.4k,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM
pytorch,text,3.4k,https://github.com/pytorch/text
fastai,course-nlp,3.3k,https://github.com/fastai/course-nlp
miso-belica,sumy,3.3k,https://github.com/miso-belica/sumy
shibing624,text2vec,3.2k,https://github.com/shibing624/text2vec
ml-tooling,ml-workspace,3.2k,https://github.com/ml-tooling/ml-workspace
lonePatient,awesome-pretrained-chinese-nlp-models,3.1k,https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models
graykode,nlp-roadmap,3.1k,https://github.com/graykode/nlp-roadmap
whitead,paper-qa,3.1k,https://github.com/whitead/paper-qa
