Username,Repository,Stars,Repo URL
microsoft,vscode,152k,https://github.com/microsoft/vscode
microsoft,TypeScript,94.5k,https://github.com/microsoft/TypeScript
denoland,deno,91.1k,https://github.com/denoland/deno
angular,angular,90.6k,https://github.com/angular/angular
mui,material-ui,89.1k,https://github.com/mui/material-ui
ant-design,ant-design,87.8k,https://github.com/ant-design/ant-design
storybookjs,storybook,80.5k,https://github.com/storybookjs/storybook
oven-sh,bun,63.9k,https://github.com/oven-sh/bun
mermaid-js,mermaid,61.7k,https://github.com/mermaid-js/mermaid
nestjs,nest,60.2k,https://github.com/nestjs/nest
enaqx,awesome-react,58.5k,https://github.com/enaqx/awesome-react
strapi,strapi,56.5k,https://github.com/strapi/strapi
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
prettier,prettier,46.7k,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,45.4k,https://github.com/DefinitelyTyped/DefinitelyTyped
typescript-cheatsheets,react,42.5k,https://github.com/typescript-cheatsheets/react
Asabeneh,30-Days-Of-JavaScript,38.7k,https://github.com/Asabeneh/30-Days-Of-JavaScript
vuetifyjs,vuetify,38.1k,https://github.com/vuetifyjs/vuetify
react-hook-form,react-hook-form,37k,https://github.com/react-hook-form/react-hook-form
type-challenges,type-challenges,36.7k,https://github.com/type-challenges/type-challenges
evanw,esbuild,36.2k,https://github.com/evanw/esbuild
microsoft,monaco-editor,35.8k,https://github.com/microsoft/monaco-editor
prisma,prisma,34.1k,https://github.com/prisma/prisma
n8n-io,n8n,34.1k,https://github.com/n8n-io/n8n
NervJS,taro,33.6k,https://github.com/NervJS/taro
typeorm,typeorm,32.2k,https://github.com/typeorm/typeorm
appsmithorg,appsmith,29.3k,https://github.com/appsmithorg/appsmith
trpc,trpc,29k,https://github.com/trpc/trpc
novuhq,novu,29k,https://github.com/novuhq/novu
swc-project,swc,28.6k,https://github.com/swc-project/swc
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
mobxjs,mobx,26.8k,https://github.com/mobxjs/mobx
angular,angular-cli,26.2k,https://github.com/angular/angular-cli
colinhacks,zod,25.8k,https://github.com/colinhacks/zod
statelyai,xstate,24.9k,https://github.com/statelyai/xstate
akveo,ngx-admin,24.7k,https://github.com/akveo/ngx-admin
codex-team,editor.js,24.5k,https://github.com/codex-team/editor.js
rome,tools,24.2k,https://github.com/rome/tools
expo,expo,23.7k,https://github.com/expo/expo
ToolJet,ToolJet,23.7k,https://github.com/ToolJet/ToolJet
calcom,cal.com,23.6k,https://github.com/calcom/cal.com
directus,directus,23.3k,https://github.com/directus/directus
vercel,turbo,23.1k,https://github.com/vercel/turbo
withfig,autocomplete,23.1k,https://github.com/withfig/autocomplete
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
TanStack,table,22.6k,https://github.com/TanStack/table
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
spacedriveapp,spacedrive,22.2k,https://github.com/spacedriveapp/spacedrive
react-bootstrap,react-bootstrap,22k,https://github.com/react-bootstrap/react-bootstrap
electron-react-boilerplate,electron-react-boilerplate,21.9k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
mantinedev,mantine,21.6k,https://github.com/mantinedev/mantine
BabylonJS,Babylon.js,21.5k,https://github.com/BabylonJS/Babylon.js
heyxyz,hey,21.3k,https://github.com/heyxyz/hey
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
recharts,recharts,21.2k,https://github.com/recharts/recharts
palantir,blueprint,20.1k,https://github.com/palantir/blueprint
basarat,typescript-book,19.9k,https://github.com/basarat/typescript-book
t3-oss,create-t3-app,19.8k,https://github.com/t3-oss/create-t3-app
vbenjs,vue-vben-admin,19.7k,https://github.com/vbenjs/vue-vben-admin
nrwl,nx,19.6k,https://github.com/nrwl/nx
railsware,upterm,19.3k,https://github.com/railsware/upterm
apollographql,apollo-client,19k,https://github.com/apollographql/apollo-client
SBoudrias,Inquirer.js,18.6k,https://github.com/SBoudrias/Inquirer.js
eclipse-theia,theia,18.5k,https://github.com/eclipse-theia/theia
desktop,desktop,18.3k,https://github.com/desktop/desktop
yudai,gotty,18.1k,https://github.com/yudai/gotty
web3,web3.js,17.9k,https://github.com/web3/web3.js
sst,sst,17.9k,https://github.com/sst/sst
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
tensorflow,tfjs,17.7k,https://github.com/tensorflow/tfjs
alibaba,ice,17.7k,https://github.com/alibaba/ice
wbkd,react-flow,17.6k,https://github.com/wbkd/react-flow
makeplane,plane,17.6k,https://github.com/makeplane/plane
lin-xin,vue-manage-system,17.5k,https://github.com/lin-xin/vue-manage-system
teambit,bit,17k,https://github.com/teambit/bit
wangeditor-team,wangEditor,16.3k,https://github.com/wangeditor-team/wangEditor
AssemblyScript,assemblyscript,16k,https://github.com/AssemblyScript/assemblyscript
xtermjs,xterm.js,15.7k,https://github.com/xtermjs/xterm.js
shadcn-ui,taxonomy,15.4k,https://github.com/shadcn-ui/taxonomy
FuelLabs,fuels-ts,15.3k,https://github.com/FuelLabs/fuels-ts
refinedev,refine,14.9k,https://github.com/refinedev/refine
feathersjs,feathers,14.8k,https://github.com/feathersjs/feathers
SigNoz,signoz,14.7k,https://github.com/SigNoz/signoz
pavlobu,deskreen,14.7k,https://github.com/pavlobu/deskreen
adonisjs,core,14.4k,https://github.com/adonisjs/core
typescript-eslint,typescript-eslint,13.9k,https://github.com/typescript-eslint/typescript-eslint
drizzle-team,drizzle-orm,13.9k,https://github.com/drizzle-team/drizzle-orm
PostHog,posthog,13.6k,https://github.com/PostHog/posthog
lichess-org,lila,13.6k,https://github.com/lichess-org/lila
angular-ui,ui-router,13.6k,https://github.com/angular-ui/ui-router
mayooear,gpt4-pdf-chatbot-langchain,13.3k,https://github.com/mayooear/gpt4-pdf-chatbot-langchain
piotrwitek,react-redux-typescript-guide,13.2k,https://github.com/piotrwitek/react-redux-typescript-guide
tremorlabs,tremor,13.1k,https://github.com/tremorlabs/tremor
blitz-js,blitz,13.1k,https://github.com/blitz-js/blitz
VSCodeVim,Vim,12.5k,https://github.com/VSCodeVim/Vim
amplication,amplication,12.5k,https://github.com/amplication/amplication
payloadcms,payload,12.4k,https://github.com/payloadcms/payload
redis,ioredis,12.3k,https://github.com/redis/ioredis
graphile,crystal,12.2k,https://github.com/graphile/crystal
TypeStrong,ts-node,12.1k,https://github.com/TypeStrong/ts-node
