Username,Repository,Stars,Repo URL
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
JetBrains,kotlin,46k,https://github.com/JetBrains/kotlin
square,okhttp,44.6k,https://github.com/square/okhttp
square,leakcanary,28.7k,https://github.com/square/leakcanary
tachiyomiorg,tachiyomi,24.8k,https://github.com/tachiyomiorg/tachiyomi
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
google,iosched,21.8k,https://github.com/google/iosched
tipsy,profile-summary-for-github,19.8k,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19.6k,https://github.com/afollestad/material-dialogs
Tencent,MMKV,16.2k,https://github.com/Tencent/MMKV
Kotlin,anko,15.9k,https://github.com/Kotlin/anko
gradle,gradle,15.3k,https://github.com/gradle/gradle
JetBrains,compose-multiplatform,13.5k,https://github.com/JetBrains/compose-multiplatform
mamoe,mirai,13.3k,https://github.com/mamoe/mirai
android,nowinandroid,13.1k,https://github.com/android/nowinandroid
yuliskov,SmartTubeNext,12.8k,https://github.com/yuliskov/SmartTubeNext
Kotlin,kotlinx.coroutines,12.3k,https://github.com/Kotlin/kotlinx.coroutines
ktorio,ktor,11.6k,https://github.com/ktorio/ktor
wasabeef,recyclerview-animators,11.3k,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,11.2k,https://github.com/permissions-dispatcher/PermissionsDispatcher
gyf-dev,ImmersionBar,10.9k,https://github.com/gyf-dev/ImmersionBar
glideapps,quicktype,10.6k,https://github.com/glideapps/quicktype
KotlinBy,awesome-kotlin,10.6k,https://github.com/KotlinBy/awesome-kotlin
wasabeef,glide-transformations,9.8k,https://github.com/wasabeef/glide-transformations
coil-kt,coil,9.6k,https://github.com/coil-kt/coil
sqlc-dev,sqlc,9.2k,https://github.com/sqlc-dev/sqlc
square,okio,8.5k,https://github.com/square/okio
InsertKoinIO,koin,8.3k,https://github.com/InsertKoinIO/koin
JetBrains,ideavim,8.1k,https://github.com/JetBrains/ideavim
LawnchairLauncher,lawnchair,7.5k,https://github.com/LawnchairLauncher/lawnchair
android,android-ktx,7.5k,https://github.com/android/android-ktx
JetBrains,Exposed,7.5k,https://github.com/JetBrains/Exposed
google,android-classyshark,7.4k,https://github.com/google/android-classyshark
skydoves,Pokedex,7.1k,https://github.com/skydoves/Pokedex
JetBrains,kotlin-native,7.1k,https://github.com/JetBrains/kotlin-native
ankidroid,Anki-Android,7k,https://github.com/ankidroid/Anki-Android
ReactiveX,RxKotlin,7k,https://github.com/ReactiveX/RxKotlin
zetbaitsu,Compressor,6.9k,https://github.com/zetbaitsu/Compressor
javalin,javalin,6.8k,https://github.com/javalin/javalin
sourcerer-io,sourcerer-app,6.7k,https://github.com/sourcerer-io/sourcerer-app
iSoron,uhabits,6.5k,https://github.com/iSoron/uhabits
rest-assured,rest-assured,6.5k,https://github.com/rest-assured/rest-assured
skydoves,android-developer-roadmap,6.4k,https://github.com/skydoves/android-developer-roadmap
libre-tube,LibreTube,6.4k,https://github.com/libre-tube/LibreTube
chrisbanes,tivi,6.1k,https://github.com/chrisbanes/tivi
