Username,Repository,Stars,Repo URL
twbs,bootstrap,166k,https://github.com/twbs/bootstrap
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
electron,electron,109k,https://github.com/electron/electron
storybookjs,storybook,80.6k,https://github.com/storybookjs/storybook
microsoft,Web-Dev-For-Beginners,77.1k,https://github.com/microsoft/Web-Dev-For-Beginners
thedaviddias,Front-End-Checklist,66.2k,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,55.3k,https://github.com/h5bp/html5-boilerplate
rails,rails,53.6k,https://github.com/rails/rails
jgthms,bulma,47.6k,https://github.com/jgthms/bulma
prettier,prettier,46.8k,https://github.com/prettier/prettier
parcel-bundler,parcel,42.7k,https://github.com/parcel-bundler/parcel
vercel,hyper,41.6k,https://github.com/vercel/hyper
Asabeneh,30-Days-Of-JavaScript,38.8k,https://github.com/Asabeneh/30-Days-Of-JavaScript
yangshun,front-end-interview-handbook,38.7k,https://github.com/yangshun/front-end-interview-handbook
videojs,video.js,36.3k,https://github.com/videojs/video.js
tabler,tabler,35.7k,https://github.com/tabler/tabler
SheetJS,sheetjs,33.7k,https://github.com/SheetJS/sheetjs
novuhq,novu,29.8k,https://github.com/novuhq/novu
joshbuchea,HEAD,29.8k,https://github.com/joshbuchea/HEAD
layui,layui,28.1k,https://github.com/layui/layui
cheeriojs,cheerio,27k,https://github.com/cheeriojs/cheerio
haizlin,fe-interview,24.1k,https://github.com/haizlin/fe-interview
qianguyihao,Web,24k,https://github.com/qianguyihao/Web
mdbootstrap,mdb-ui-kit,23.7k,https://github.com/mdbootstrap/mdb-ui-kit
pure-css,pure,23.2k,https://github.com/pure-css/pure
Asabeneh,30-Days-Of-React,23k,https://github.com/Asabeneh/30-Days-Of-React
usablica,intro.js,22.2k,https://github.com/usablica/intro.js
bigskysoftware,htmx,22.2k,https://github.com/bigskysoftware/htmx
ColorlibHQ,gentelella,20.9k,https://github.com/ColorlibHQ/gentelella
processing,p5.js,20k,https://github.com/processing/p5.js
jsdom,jsdom,19.3k,https://github.com/jsdom/jsdom
pyscript,pyscript,17.1k,https://github.com/pyscript/pyscript
NaiboWang,EasySpider,17.1k,https://github.com/NaiboWang/EasySpider
nhn,tui.editor,16.4k,https://github.com/nhn/tui.editor
thedaviddias,Front-End-Performance-Checklist,16k,https://github.com/thedaviddias/Front-End-Performance-Checklist
aframevr,aframe,15.7k,https://github.com/aframevr/aframe
twbs,ratchet,14.6k,https://github.com/twbs/ratchet
DioxusLabs,dioxus,14.3k,https://github.com/DioxusLabs/dioxus
google,WebFundamentals,13.8k,https://github.com/google/WebFundamentals
showdownjs,showdown,13.5k,https://github.com/showdownjs/showdown
psf,requests-html,13.4k,https://github.com/psf/requests-html
Tencent,omi,12.8k,https://github.com/Tencent/omi
cobiwave,simplefolio,12.7k,https://github.com/cobiwave/simplefolio
arthurspk,guiadevbrasil,12.7k,https://github.com/arthurspk/guiadevbrasil
troyeguo,koodo-reader,12.7k,https://github.com/troyeguo/koodo-reader
leemunroe,responsive-html-email-template,12.5k,https://github.com/leemunroe/responsive-html-email-template
gnab,remark,12.4k,https://github.com/gnab/remark
mdbootstrap,TW-Elements,12.1k,https://github.com/mdbootstrap/TW-Elements
RelaxedJS,ReLaXed,11.8k,https://github.com/RelaxedJS/ReLaXed
cure53,DOMPurify,11.8k,https://github.com/cure53/DOMPurify
aurelia,framework,11.8k,https://github.com/aurelia/framework
30-seconds,30-seconds-of-interviews,11.7k,https://github.com/30-seconds/30-seconds-of-interviews
webview,webview,11.6k,https://github.com/webview/webview
tachyons-css,tachyons,11.5k,https://github.com/tachyons-css/tachyons
iamshuaidi,CS-Book,11.1k,https://github.com/iamshuaidi/CS-Book
microsoft,frontend-bootcamp,10.8k,https://github.com/microsoft/frontend-bootcamp
mayswind,AriaNg,10.8k,https://github.com/mayswind/AriaNg
HabitRPG,habitica,10.7k,https://github.com/HabitRPG/habitica
stylelint,stylelint,10.5k,https://github.com/stylelint/stylelint
yygmind,blog,10.4k,https://github.com/yygmind/blog
jhy,jsoup,10.3k,https://github.com/jhy/jsoup
novnc,noVNC,10.3k,https://github.com/novnc/noVNC
milligram,milligram,10.1k,https://github.com/milligram/milligram
ionic-team,capacitor,10.1k,https://github.com/ionic-team/capacitor
connors,photon,10k,https://github.com/connors/photon
dompdf,dompdf,10k,https://github.com/dompdf/dompdf
shoelace-style,shoelace,9.9k,https://github.com/shoelace-style/shoelace
tsayen,dom-to-image,9.7k,https://github.com/tsayen/dom-to-image
mathjax,MathJax,9.6k,https://github.com/mathjax/MathJax
StartBootstrap,startbootstrap-sb-admin-2,9.6k,https://github.com/StartBootstrap/startbootstrap-sb-admin-2
hakanyalcinkaya,kodluyoruz-frontend-101-egitimi,9.4k,https://github.com/hakanyalcinkaya/kodluyoruz-frontend-101-egitimi
Zettlr,Zettlr,9k,https://github.com/Zettlr/Zettlr
OnsenUI,OnsenUI,8.7k,https://github.com/OnsenUI/OnsenUI
beautify-web,js-beautify,8.3k,https://github.com/beautify-web/js-beautify
mdn,content,8.2k,https://github.com/mdn/content
TheOdinProject,curriculum,7.9k,https://github.com/TheOdinProject/curriculum
ansible-semaphore,semaphore,7.9k,https://github.com/ansible-semaphore/semaphore
icindy,wxParse,7.7k,https://github.com/icindy/wxParse
Jermolene,TiddlyWiki5,7.5k,https://github.com/Jermolene/TiddlyWiki5
QuestPDF,QuestPDF,7.5k,https://github.com/QuestPDF/QuestPDF
mixmark-io,turndown,7.4k,https://github.com/mixmark-io/turndown
ApoorvSaxena,lozad.js,7.3k,https://github.com/ApoorvSaxena/lozad.js
whatwg,html,7.2k,https://github.com/whatwg/html
BlackrockDigital,startbootstrap,7.2k,https://github.com/BlackrockDigital/startbootstrap
NorthwoodsSoftware,GoJS,7.1k,https://github.com/NorthwoodsSoftware/GoJS
olton,Metro-UI-CSS,7k,https://github.com/olton/Metro-UI-CSS
sbstjn,timesheet.js,6.9k,https://github.com/sbstjn/timesheet.js
neutralinojs,neutralinojs,6.9k,https://github.com/neutralinojs/neutralinojs
alvarcarto,url-to-pdf-api,6.9k,https://github.com/alvarcarto/url-to-pdf-api
PHPOffice,PHPWord,6.9k,https://github.com/PHPOffice/PHPWord
DIYgod,APlayer,6.9k,https://github.com/DIYgod/APlayer
