Username,Repository,Stars,Repo URL
netdata,netdata,65.5k,https://github.com/netdata/netdata
grafana,grafana,57.6k,https://github.com/grafana/grafana
prometheus,prometheus,50.3k,https://github.com/prometheus/prometheus
Unitech,pm2,39.8k,https://github.com/Unitech/pm2
huginn,huginn,39.5k,https://github.com/huginn/huginn
louislam,uptime-kuma,39.5k,https://github.com/louislam/uptime-kuma
getsentry,sentry,35.3k,https://github.com/getsentry/sentry
influxdata,influxdb,26.5k,https://github.com/influxdata/influxdb
nicolargo,glances,23.6k,https://github.com/nicolargo/glances
taosdata,TDengine,21.8k,https://github.com/taosdata/TDengine
osquery,osquery,20.7k,https://github.com/osquery/osquery
didi,DoKit,19.7k,https://github.com/didi/DoKit
dianping,cat,18.1k,https://github.com/dianping/cat
allinurl,goaccess,16.7k,https://github.com/allinurl/goaccess
cilium,cilium,16.7k,https://github.com/cilium/cilium
SigNoz,signoz,14.8k,https://github.com/SigNoz/signoz
bcicen,ctop,14.7k,https://github.com/bcicen/ctop
bettercap,bettercap,14.7k,https://github.com/bettercap/bettercap
influxdata,telegraf,13.3k,https://github.com/influxdata/telegraf
pinpoint-apm,pinpoint,13k,https://github.com/pinpoint-apm/pinpoint
dgtlmoon,changedetection.io,12.7k,https://github.com/dgtlmoon/changedetection.io
thanos-io,thanos,12.2k,https://github.com/thanos-io/thanos
sqshq,sampler,11.8k,https://github.com/sqshq/sampler
dastergon,awesome-sre,10.6k,https://github.com/dastergon/awesome-sre
tariqbuilds,linux-dash,10.2k,https://github.com/tariqbuilds/linux-dash
giampaolo,psutil,9.6k,https://github.com/giampaolo/psutil
VictoriaMetrics,VictoriaMetrics,9.5k,https://github.com/VictoriaMetrics/VictoriaMetrics
aksakalli,gtop,9.5k,https://github.com/aksakalli/gtop
winsiderss,systeminformer,9.5k,https://github.com/winsiderss/systeminformer
fail2ban,fail2ban,8.9k,https://github.com/fail2ban/fail2ban
gao-sun,eul,8.7k,https://github.com/gao-sun/eul
upgundecha,howtheysre,8.7k,https://github.com/upgundecha/howtheysre
grafana,pyroscope,8.6k,https://github.com/grafana/pyroscope
oguzhaninan,Stacer,8.6k,https://github.com/oguzhaninan/Stacer
prometheus-operator,prometheus-operator,8.3k,https://github.com/prometheus-operator/prometheus-operator
Xfennec,progress,7.9k,https://github.com/Xfennec/progress
ClementTsang,bottom,7.7k,https://github.com/ClementTsang/bottom
ccfos,nightingale,7.6k,https://github.com/ccfos/nightingale
open-falcon,falcon-plus,7.1k,https://github.com/open-falcon/falcon-plus
openobserve,openobserve,6.9k,https://github.com/openobserve/openobserve
SigmaHQ,sigma,6.8k,https://github.com/SigmaHQ/sigma
statping,statping,6.7k,https://github.com/statping/statping
healthchecks,healthchecks,6.7k,https://github.com/healthchecks/healthchecks
lebinh,ngxtop,6.4k,https://github.com/lebinh/ngxtop
prometheus,alertmanager,5.9k,https://github.com/prometheus/alertmanager
mher,flower,5.9k,https://github.com/mher/flower
highlight,highlight,5.9k,https://github.com/highlight/highlight
Syllo,nvtop,5.8k,https://github.com/Syllo/nvtop
weaveworks,scope,5.8k,https://github.com/weaveworks/scope
stefanprodan,dockprom,5.6k,https://github.com/stefanprodan/dockprom
arachnys,cabot,5.5k,https://github.com/arachnys/cabot
samber,awesome-prometheus-alerts,5.5k,https://github.com/samber/awesome-prometheus-alerts
cortexproject,cortex,5.2k,https://github.com/cortexproject/cortex
flightlessmango,MangoHud,5.2k,https://github.com/flightlessmango/MangoHud
Tautulli,Tautulli,5.1k,https://github.com/Tautulli/Tautulli
naiba,nezha,5.1k,https://github.com/naiba/nezha
hyperdxio,hyperdx,5k,https://github.com/hyperdxio/hyperdx
spatie,laravel-activitylog,4.9k,https://github.com/spatie/laravel-activitylog
ElasticHQ,elasticsearch-HQ,4.9k,https://github.com/ElasticHQ/elasticsearch-HQ
pixie-io,pixie,4.9k,https://github.com/pixie-io/pixie
kubernetes,kube-state-metrics,4.8k,https://github.com/kubernetes/kube-state-metrics
a597873885,webfunny_monitor,4.8k,https://github.com/a597873885/webfunny_monitor
rsalmei,alive-progress,4.7k,https://github.com/rsalmei/alive-progress
laravel,telescope,4.6k,https://github.com/laravel/telescope
sitespeedio,sitespeed.io,4.6k,https://github.com/sitespeedio/sitespeed.io
opserver,Opserver,4.4k,https://github.com/opserver/Opserver
SwiftOnSecurity,sysmon-config,4.3k,https://github.com/SwiftOnSecurity/sysmon-config
