Username,Repository,Stars,Repo URL
neovim,neovim,70.2k,https://github.com/neovim/neovim
coolsnowwolf,lede,27.2k,https://github.com/coolsnowwolf/lede
SpaceVim,SpaceVim,20.1k,https://github.com/SpaceVim/SpaceVim
NvChad,NvChad,19.7k,https://github.com/NvChad/NvChad
cocos2d,cocos2d-x,17.5k,https://github.com/cocos2d/cocos2d-x
LunarVim,LunarVim,16.1k,https://github.com/LunarVim/LunarVim
lionsoul2014,ip2region,14.3k,https://github.com/lionsoul2014/ip2region
spotify,annoy,12k,https://github.com/spotify/annoy
nvim-telescope,telescope.nvim,11.5k,https://github.com/nvim-telescope/telescope.nvim
Hammerspoon,hammerspoon,10.9k,https://github.com/Hammerspoon/hammerspoon
AstroNvim,AstroNvim,10.6k,https://github.com/AstroNvim/AstroNvim
codota,TabNine,10.2k,https://github.com/codota/TabNine
minetest,minetest,9.5k,https://github.com/minetest/minetest
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
Tencent,xLua,8.7k,https://github.com/Tencent/xLua
nmap,nmap,8.4k,https://github.com/nmap/nmap
xmake-io,xmake,7.8k,https://github.com/xmake-io/xmake
nodemcu,nodemcu-firmware,7.5k,https://github.com/nodemcu/nodemcu-firmware
wbthomason,packer.nvim,7.1k,https://github.com/wbthomason/packer.nvim
brndnmtthws,conky,6.5k,https://github.com/brndnmtthws/conky
awesomeWM,awesome,5.8k,https://github.com/awesomeWM/awesome
yuin,gopher-lua,5.7k,https://github.com/yuin/gopher-lua
nvim-tree,nvim-tree.lua,5.7k,https://github.com/nvim-tree/nvim-tree.lua
nanotee,nvim-lua-guide,5.5k,https://github.com/nanotee/nvim-lua-guide
williamboman,mason.nvim,5.5k,https://github.com/williamboman/mason.nvim
akopytov,sysbench,5.4k,https://github.com/akopytov/sysbench
turanszkij,WickedEngine,4.9k,https://github.com/turanszkij/WickedEngine
nvim-neorg,neorg,4.7k,https://github.com/nvim-neorg/neorg
cuberite,cuberite,4.7k,https://github.com/cuberite/cuberite
nvim-lualine,lualine.nvim,4.5k,https://github.com/nvim-lualine/lualine.nvim
martanne,vis,4.1k,https://github.com/martanne/vis
lite-xl,lite-xl,4k,https://github.com/lite-xl/lite-xl
love2d,love,3.8k,https://github.com/love2d/love
alibaba,LuaViewSDK,3.7k,https://github.com/alibaba/LuaViewSDK
folke,trouble.nvim,3.7k,https://github.com/folke/trouble.nvim
luvit,luvit,3.7k,https://github.com/luvit/luvit
facontidavide,PlotJuggler,3.7k,https://github.com/facontidavide/PlotJuggler
ThePhD,sol2,3.7k,https://github.com/ThePhD/sol2
lewis6991,gitsigns.nvim,3.6k,https://github.com/lewis6991/gitsigns.nvim
kaitai-io,kaitai_struct,3.6k,https://github.com/kaitai-io/kaitai_struct
folke,which-key.nvim,3.5k,https://github.com/folke/which-key.nvim
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3.5k,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
catppuccin,nvim,3.5k,https://github.com/catppuccin/nvim
fcambus,nginx-resources,3.4k,https://github.com/fcambus/nginx-resources
spring,spring,3.3k,https://github.com/spring/spring
tarantool,tarantool,3.2k,https://github.com/tarantool/tarantool
Roblox,luau,3.2k,https://github.com/Roblox/luau
a327ex,blog,3.2k,https://github.com/a327ex/blog
scipag,vulscan,3.1k,https://github.com/scipag/vulscan
viebel,klipse,3.1k,https://github.com/viebel/klipse
akinsho,toggleterm.nvim,3k,https://github.com/akinsho/toggleterm.nvim
leafo,moonscript,3k,https://github.com/leafo/moonscript
nvimdev,lspsaga.nvim,3k,https://github.com/nvimdev/lspsaga.nvim
lcpz,awesome-copycats,2.9k,https://github.com/lcpz/awesome-copycats
luarocks,luarocks,2.9k,https://github.com/luarocks/luarocks
leafo,lapis,2.9k,https://github.com/leafo/lapis
rebelot,kanagawa.nvim,2.9k,https://github.com/rebelot/kanagawa.nvim
premake,premake-core,2.9k,https://github.com/premake/premake-core
echasnovski,mini.nvim,2.9k,https://github.com/echasnovski/mini.nvim
numToStr,Comment.nvim,2.8k,https://github.com/numToStr/Comment.nvim
love2d-community,awesome-love2d,2.8k,https://github.com/love2d-community/awesome-love2d
akinsho,bufferline.nvim,2.7k,https://github.com/akinsho/bufferline.nvim
weechat,weechat,2.7k,https://github.com/weechat/weechat
leandromoreira,cdn-up-and-running,2.7k,https://github.com/leandromoreira/cdn-up-and-running
LuaLS,lua-language-server,2.6k,https://github.com/LuaLS/lua-language-server
pkulchenko,ZeroBraneStudio,2.5k,https://github.com/pkulchenko/ZeroBraneStudio
focus-creative-games,luban,2.5k,https://github.com/focus-creative-games/luban
danog,MadelineProto,2.5k,https://github.com/danog/MadelineProto
mpvnet-player,mpv.net,2.4k,https://github.com/mpvnet-player/mpv.net
windwp,nvim-autopairs,2.4k,https://github.com/windwp/nvim-autopairs
EdenEast,nightfox.nvim,2.4k,https://github.com/EdenEast/nightfox.nvim
pico-8,awesome-PICO-8,2.4k,https://github.com/pico-8/awesome-PICO-8
OpenNMT,OpenNMT,2.4k,https://github.com/OpenNMT/OpenNMT
L3MON4D3,LuaSnip,2.4k,https://github.com/L3MON4D3/LuaSnip
xyproto,algernon,2.3k,https://github.com/xyproto/algernon
coronalabs,corona,2.3k,https://github.com/coronalabs/corona
tuyoogame,huatuo,2.3k,https://github.com/tuyoogame/huatuo
ThisisGame,cpp-game-engine-book,2.2k,https://github.com/ThisisGame/cpp-game-engine-book
bakpakin,Fennel,2.2k,https://github.com/bakpakin/Fennel
way-cooler,way-cooler,2.1k,https://github.com/way-cooler/way-cooler
kylechui,nvim-surround,2.1k,https://github.com/kylechui/nvim-surround
nvim-neo-tree,neo-tree.nvim,2.1k,https://github.com/nvim-neo-tree/neo-tree.nvim
Komodo,KomodoEdit,2.1k,https://github.com/Komodo/KomodoEdit
praydog,REFramework,2.1k,https://github.com/praydog/REFramework
nvim-lua,plenary.nvim,1.9k,https://github.com/nvim-lua/plenary.nvim
NREL,api-umbrella,1.9k,https://github.com/NREL/api-umbrella
luafun,luafun,1.9k,https://github.com/luafun/luafun
crownengine,crown,1.9k,https://github.com/crownengine/crown
ledgetech,lua-resty-http,1.9k,https://github.com/ledgetech/lua-resty-http
auto-ssl,lua-resty-auto-ssl,1.9k,https://github.com/auto-ssl/lua-resty-auto-ssl
luakit,luakit,1.9k,https://github.com/luakit/luakit
yuanfengyun,q_algorithm,1.9k,https://github.com/yuanfengyun/q_algorithm
NLua,NLua,1.8k,https://github.com/NLua/NLua
widelands,widelands,1.8k,https://github.com/widelands/widelands
rspamd,rspamd,1.8k,https://github.com/rspamd/rspamd
mpeterv,luacheck,1.8k,https://github.com/mpeterv/luacheck
TypeScriptToLua,TypeScriptToLua,1.8k,https://github.com/TypeScriptToLua/TypeScriptToLua
wxFormBuilder,wxFormBuilder,1.8k,https://github.com/wxFormBuilder/wxFormBuilder
projekt0n,github-nvim-theme,1.8k,https://github.com/projekt0n/github-nvim-theme
leinlin,Miku-LuaProfiler,1.8k,https://github.com/leinlin/Miku-LuaProfiler
