Username,Repository,Stars,Repo URL
PanJiaChen,vue-element-admin,84.2k,https://github.com/PanJiaChen/vue-element-admin
storybookjs,storybook,80.6k,https://github.com/storybookjs/storybook
webpack,webpack,63.6k,https://github.com/webpack/webpack
bailicangdu,vue2-elm,40.4k,https://github.com/bailicangdu/vue2-elm
akveo,ngx-admin,24.7k,https://github.com/akveo/ngx-admin
vercel,turbo,23.2k,https://github.com/vercel/turbo
markerikson,react-redux-links,22.3k,https://github.com/markerikson/react-redux-links
electron-react-boilerplate,electron-react-boilerplate,22k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
verekia,js-stack-from-scratch,20k,https://github.com/verekia/js-stack-from-scratch
mojs,mojs,18.1k,https://github.com/mojs/mojs
alibaba,ice,17.7k,https://github.com/alibaba/ice
jamiebuilds,react-loadable,16.6k,https://github.com/jamiebuilds/react-loadable
SimulatedGREG,electron-vue,15.4k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15k,https://github.com/grab/front-end-guide
FormidableLabs,webpack-dashboard,13.9k,https://github.com/FormidableLabs/webpack-dashboard
bailicangdu,vue2-manage,13k,https://github.com/bailicangdu/vue2-manage
webpack-contrib,webpack-bundle-analyzer,12.4k,https://github.com/webpack-contrib/webpack-bundle-analyzer
jaredpalmer,razzle,11.1k,https://github.com/jaredpalmer/razzle
jantimon,html-webpack-plugin,10.5k,https://github.com/jantimon/html-webpack-plugin
PatrickJS,MFE-starter,10.4k,https://github.com/PatrickJS/MFE-starter
ksky521,nodeppt,10.2k,https://github.com/ksky521/nodeppt
gregberge,svgr,10k,https://github.com/gregberge/svgr
aui,art-template,9.8k,https://github.com/aui/art-template
timarney,react-app-rewired,9.7k,https://github.com/timarney/react-app-rewired
pastelsky,bundlephobia,8.3k,https://github.com/pastelsky/bundlephobia
tamagui,tamagui,8k,https://github.com/tamagui/tamagui
akveo,nebular,7.9k,https://github.com/akveo/nebular
phuocng,csslayout,7.8k,https://github.com/phuocng/csslayout
webpack,webpack-dev-server,7.7k,https://github.com/webpack/webpack-dev-server
gregberge,loadable-components,7.4k,https://github.com/gregberge/loadable-components
chrisvfritz,prerender-spa-plugin,7.3k,https://github.com/chrisvfritz/prerender-spa-plugin
alibaba,x-render,6.4k,https://github.com/alibaba/x-render
hinesboy,mavonEditor,6.2k,https://github.com/hinesboy/mavonEditor
webslides,WebSlides,6.1k,https://github.com/webslides/WebSlides
WhitestormJS,whs.js,6.1k,https://github.com/WhitestormJS/whs.js
electron,forge,5.8k,https://github.com/electron/forge
themesberg,flowbite,5.8k,https://github.com/themesberg/flowbite
insin,nwb,5.6k,https://github.com/insin/nwb
maximegris,angular-electron,5.5k,https://github.com/maximegris/angular-electron
zouhir,jarvis,5.5k,https://github.com/zouhir/jarvis
rails,webpacker,5.3k,https://github.com/rails/webpacker
egoist,poi,5.3k,https://github.com/egoist/poi
hql287,Manta,5.2k,https://github.com/hql287/Manta
laravel-mix,laravel-mix,5.2k,https://github.com/laravel-mix/laravel-mix
shakacode,react_on_rails,5k,https://github.com/shakacode/react_on_rails
vigetlabs,blendid,5k,https://github.com/vigetlabs/blendid
FAQGURU,FAQGURU,5k,https://github.com/FAQGURU/FAQGURU
vuejs,vue-loader,5k,https://github.com/vuejs/vue-loader
duxianwei520,react,4.9k,https://github.com/duxianwei520/react
babel,babel-loader,4.8k,https://github.com/babel/babel-loader
youngwind,blog,4.7k,https://github.com/youngwind/blog
webpack-contrib,awesome-webpack,4.6k,https://github.com/webpack-contrib/awesome-webpack
NekR,offline-plugin,4.5k,https://github.com/NekR/offline-plugin
jaredpalmer,backpack,4.5k,https://github.com/jaredpalmer/backpack
biaochenxuying,blog,4.4k,https://github.com/biaochenxuying/blog
cookiecutter-flask,cookiecutter-flask,4.4k,https://github.com/cookiecutter-flask/cookiecutter-flask
gwuhaolin,dive-into-webpack,4.3k,https://github.com/gwuhaolin/dive-into-webpack
alexjoverm,typescript-library-starter,4.3k,https://github.com/alexjoverm/typescript-library-starter
webpack-contrib,css-loader,4.3k,https://github.com/webpack-contrib/css-loader
amireh,happypack,4.2k,https://github.com/amireh/happypack
jaredpalmer,after.js,4.1k,https://github.com/jaredpalmer/after.js
nklayman,vue-cli-plugin-electron-builder,4.1k,https://github.com/nklayman/vue-cli-plugin-electron-builder
neutrinojs,neutrino,4k,https://github.com/neutrinojs/neutrino
webpack-contrib,sass-loader,3.9k,https://github.com/webpack-contrib/sass-loader
