Username,Repository,Stars,Repo URL
jlevy,the-art-of-command-line,140k,https://github.com/jlevy/the-art-of-command-line
trimstray,the-book-of-secret-knowledge,109k,https://github.com/trimstray/the-book-of-secret-knowledge
nodejs,node,98.5k,https://github.com/nodejs/node
netdata,netdata,65.4k,https://github.com/netdata/netdata
atom,atom,59.6k,https://github.com/atom/atom
bregman-arie,devops-exercises,58.4k,https://github.com/bregman-arie/devops-exercises
ventoy,Ventoy,53.2k,https://github.com/ventoy/Ventoy
alacritty,alacritty,48.8k,https://github.com/alacritty/alacritty
rustdesk,rustdesk,47.9k,https://github.com/rustdesk/rustdesk
sherlock-project,sherlock,43.8k,https://github.com/sherlock-project/sherlock
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
lencx,ChatGPT,41.6k,https://github.com/lencx/ChatGPT
marktext,marktext,41.6k,https://github.com/marktext/marktext
vercel,hyper,41.6k,https://github.com/vercel/hyper
PowerShell,PowerShell,41.1k,https://github.com/PowerShell/PowerShell
agalwood,Motrix,40.4k,https://github.com/agalwood/Motrix
Z4nzu,hackingtool,39.4k,https://github.com/Z4nzu/hackingtool
GitSquared,edex-ui,38.4k,https://github.com/GitSquared/edex-ui
nativefier,nativefier,34.3k,https://github.com/nativefier/nativefier
0xAX,linux-insides,28.7k,https://github.com/0xAX/linux-insides
termux,termux-app,25.2k,https://github.com/termux/termux-app
jaywcjlove,linux-command,25.2k,https://github.com/jaywcjlove/linux-command
qier222,YesPlayMusic,24.9k,https://github.com/qier222/YesPlayMusic
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
GitHubDaily,GitHubDaily,24.2k,https://github.com/GitHubDaily/GitHubDaily
matteocrippa,awesome-swift,23.7k,https://github.com/matteocrippa/awesome-swift
yeasy,docker_practice,23k,https://github.com/yeasy/docker_practice
hwdsl2,setup-ipsec-vpn,22.8k,https://github.com/hwdsl2/setup-ipsec-vpn
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
notable,notable,22k,https://github.com/notable/notable
Swordfish90,cool-retro-term,20.2k,https://github.com/Swordfish90/cool-retro-term
luong-komorebi,Awesome-Linux-Software,19.9k,https://github.com/luong-komorebi/Awesome-Linux-Software
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
containers,podman,19.3k,https://github.com/containers/podman
invoke-ai,InvokeAI,19k,https://github.com/invoke-ai/InvokeAI
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
keepassxreboot,keepassxc,17.2k,https://github.com/keepassxreboot/keepassxc
BoostIO,BoostNote-Legacy,17.1k,https://github.com/BoostIO/BoostNote-Legacy
kingToolbox,WindTerm,17k,https://github.com/kingToolbox/WindTerm
wasmerio,wasmer,16.4k,https://github.com/wasmerio/wasmer
xbmc,xbmc,16.4k,https://github.com/xbmc/xbmc
imarvinle,awesome-cs-books,16.3k,https://github.com/imarvinle/awesome-cs-books
kivy,kivy,16.3k,https://github.com/kivy/kivy
forthespada,CS-Books,16.1k,https://github.com/forthespada/CS-Books
imthenachoman,How-To-Secure-A-Linux-Server,15.9k,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
brave,brave-browser,15.7k,https://github.com/brave/brave-browser
raysan5,raylib,15.6k,https://github.com/raysan5/raylib
warpdotdev,Warp,15.4k,https://github.com/warpdotdev/Warp
FreeCAD,FreeCAD,15.3k,https://github.com/FreeCAD/FreeCAD
spicetify,spicetify-cli,15.2k,https://github.com/spicetify/spicetify-cli
ish-app,ish,14.9k,https://github.com/ish-app/ish
Bin-Huang,chatbox,14.9k,https://github.com/Bin-Huang/chatbox
Foundry376,Mailspring,14.5k,https://github.com/Foundry376/Mailspring
google,gvisor,14.2k,https://github.com/google/gvisor
geeeeeeeeek,electronic-wechat,13.9k,https://github.com/geeeeeeeeek/electronic-wechat
txthinking,brook,13.9k,https://github.com/txthinking/brook
carlospolop,PEASS-ng,13.4k,https://github.com/carlospolop/PEASS-ng
NixOS,nixpkgs,13.3k,https://github.com/NixOS/nixpkgs
jessfraz,dockerfiles,13.3k,https://github.com/jessfraz/dockerfiles
foxlet,macOS-Simple-KVM,13.2k,https://github.com/foxlet/macOS-Simple-KVM
electron-userland,electron-builder,13k,https://github.com/electron-userland/electron-builder
polybar,polybar,13k,https://github.com/polybar/polybar
OpenRCT2,OpenRCT2,12.3k,https://github.com/OpenRCT2/OpenRCT2
nodesource,distributions,12.3k,https://github.com/nodesource/distributions
iggredible,Learn-Vim,12.2k,https://github.com/iggredible/Learn-Vim
SFTtech,openage,12k,https://github.com/SFTtech/openage
GyulyVGC,sniffnet,11.8k,https://github.com/GyulyVGC/sniffnet
jart,cosmopolitan,11.8k,https://github.com/jart/cosmopolitan
davatorium,rofi,11.6k,https://github.com/davatorium/rofi
systemd,systemd,11.6k,https://github.com/systemd/systemd
muesli,duf,11.6k,https://github.com/muesli/duf
firefly-iii,firefly-iii,11.4k,https://github.com/firefly-iii/firefly-iii
glfw,glfw,11.2k,https://github.com/glfw/glfw
CISOfy,lynis,11.2k,https://github.com/CISOfy/lynis
hoffstadt,DearPyGui,11.2k,https://github.com/hoffstadt/DearPyGui
termux,termux-packages,11.2k,https://github.com/termux/termux-packages
iamshuaidi,CS-Book,11.1k,https://github.com/iamshuaidi/CS-Book
angristan,openvpn-install,10.8k,https://github.com/angristan/openvpn-install
doitsujin,dxvk,10.8k,https://github.com/doitsujin/dxvk
nukeop,nuclear,10.7k,https://github.com/nukeop/nuclear
Gallopsled,pwntools,10.7k,https://github.com/Gallopsled/pwntools
skywind3000,awesome-cheatsheets,10.4k,https://github.com/skywind3000/awesome-cheatsheets
future-architect,vuls,10.3k,https://github.com/future-architect/vuls
tariqbuilds,linux-dash,10.2k,https://github.com/tariqbuilds/linux-dash
xiaolincoder,CS-Base,10.2k,https://github.com/xiaolincoder/CS-Base
twpayne,chezmoi,10.1k,https://github.com/twpayne/chezmoi
learnbyexample,Command-line-text-processing,10.1k,https://github.com/learnbyexample/Command-line-text-processing
sunner,ChatALL,10.1k,https://github.com/sunner/ChatALL
trimstray,test-your-sysadmin-skills,10k,https://github.com/trimstray/test-your-sysadmin-skills
therecipe,qt,10k,https://github.com/therecipe/qt
drogonframework,drogon,10k,https://github.com/drogonframework/drogon
phw,peek,9.8k,https://github.com/phw/peek
JustArchiNET,ArchiSteamFarm,9.8k,https://github.com/JustArchiNET/ArchiSteamFarm
Tencent,wcdb,9.8k,https://github.com/Tencent/wcdb
