Username,Repository,Stars,Repo URL
bregman-arie,devops-exercises,58.4k,https://github.com/bregman-arie/devops-exercises
apache,spark,36.9k,https://github.com/apache/spark
pingcap,tidb,35k,https://github.com/pingcap/tidb
dbeaver,dbeaver,34k,https://github.com/dbeaver/dbeaver
ClickHouse,ClickHouse,31.1k,https://github.com/ClickHouse/ClickHouse
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
cockroachdb,cockroach,27.9k,https://github.com/cockroachdb/cockroach
directus,directus,23.3k,https://github.com/directus/directus
surrealdb,surrealdb,22.8k,https://github.com/surrealdb/surrealdb
apache,flink,22k,https://github.com/apache/flink
taosdata,TDengine,21.8k,https://github.com/taosdata/TDengine
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
osquery,osquery,20.7k,https://github.com/osquery/osquery
mybatis,mybatis-3,19k,https://github.com/mybatis/mybatis-3
apache,shardingsphere,18.8k,https://github.com/apache/shardingsphere
knex,knex,18.1k,https://github.com/knex/knex
DapperLib,Dapper,16.5k,https://github.com/DapperLib/Dapper
cube-js,cube,16.3k,https://github.com/cube-js/cube
forthespada,CS-Books,16.1k,https://github.com/forthespada/CS-Books
dolthub,dolt,15.6k,https://github.com/dolthub/dolt
timescale,timescaledb,15.6k,https://github.com/timescale/timescaledb
prestodb,presto,15.1k,https://github.com/prestodb/presto
rqlite,rqlite,14.1k,https://github.com/rqlite/rqlite
drizzle-team,drizzle-orm,13.9k,https://github.com/drizzle-team/drizzle-orm
beekeeper-studio,beekeeper-studio,13.7k,https://github.com/beekeeper-studio/beekeeper-studio
go-sql-driver,mysql,13.7k,https://github.com/go-sql-driver/mysql
bitwarden,server,13.3k,https://github.com/bitwarden/server
questdb,questdb,12.8k,https://github.com/questdb/questdb
golang-migrate,migrate,12.4k,https://github.com/golang-migrate/migrate
duckdb,duckdb,12.3k,https://github.com/duckdb/duckdb
gyoogle,tech-interview-for-developer,11.9k,https://github.com/gyoogle/tech-interview-for-developer
sql-js,sql.js,11.7k,https://github.com/sql-js/sql.js
tiangolo,sqlmodel,10.8k,https://github.com/tiangolo/sqlmodel
launchbadge,sqlx,10k,https://github.com/launchbadge/sqlx
harelba,q,10k,https://github.com/harelba/q
apache,doris,9.7k,https://github.com/apache/doris
AkashSingh3031,The-Complete-FAANG-Preparation,9.5k,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
sqlc-dev,sqlc,9.2k,https://github.com/sqlc-dev/sqlc
citusdata,citus,9k,https://github.com/citusdata/citus
modin-project,modin,9k,https://github.com/modin-project/modin
PRQL,prql,8.6k,https://github.com/PRQL/prql
trinodb,trino,8.6k,https://github.com/trinodb/trino
XiaoMi,soar,8.5k,https://github.com/XiaoMi/soar
codenotary,immudb,8.4k,https://github.com/codenotary/immudb
simonw,datasette,8.3k,https://github.com/simonw/datasette
