Username,Repository,Stars,Repo URL
jquery,jquery,57.9k,https://github.com/jquery/jquery
alvarotrigo,fullPage.js,34.8k,https://github.com/alvarotrigo/fullPage.js
NervJS,taro,33.7k,https://github.com/NervJS/taro
cheeriojs,cheerio,27k,https://github.com/cheeriojs/cheerio
select2,select2,25.7k,https://github.com/select2/select2
nhn,tui.editor,16.4k,https://github.com/nhn/tui.editor
pandao,editor.md,13.2k,https://github.com/pandao/editor.md
PuerkitoBio,goquery,13k,https://github.com/PuerkitoBio/goquery
selectize,selectize.js,13k,https://github.com/selectize/selectize.js
jessepollak,card,11.6k,https://github.com/jessepollak/card
jquery,jquery-ui,11.2k,https://github.com/jquery/jquery-ui
jquery-validation,jquery-validation,10.3k,https://github.com/jquery-validation/jquery-validation
snapappointments,bootstrap-select,9.8k,https://github.com/snapappointments/bootstrap-select
fengyuanchen,cropper,7.8k,https://github.com/fengyuanchen/cropper
fancyapps,fancybox,7.3k,https://github.com/fancyapps/fancybox
AllThingsSmitty,must-watch-javascript,7k,https://github.com/AllThingsSmitty/must-watch-javascript
olton,Metro-UI-CSS,7k,https://github.com/olton/Metro-UI-CSS
bda-research,node-crawler,6.5k,https://github.com/bda-research/node-crawler
fabiospampinato,cash,6.3k,https://github.com/fabiospampinato/cash
givanz,VvvebJs,6k,https://github.com/givanz/VvvebJs
olifolkerd,tabulator,5.7k,https://github.com/olifolkerd/tabulator
yujiosaka,headless-chrome-crawler,5.4k,https://github.com/yujiosaka/headless-chrome-crawler
kartik-v,bootstrap-fileinput,5.3k,https://github.com/kartik-v/bootstrap-fileinput
jquery-form,form,5.2k,https://github.com/jquery-form/form
bigskysoftware,intercooler-js,4.7k,https://github.com/bigskysoftware/intercooler-js
xifangczy,cat-catch,4.6k,https://github.com/xifangczy/cat-catch
yajra,laravel-datatables,4.6k,https://github.com/yajra/laravel-datatables
yangzongzhuan,RuoYi,4.6k,https://github.com/yangzongzhuan/RuoYi
AllThingsSmitty,jquery-tips-everyone-should-know,4.2k,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
benpickles,peity,4.2k,https://github.com/benpickles/peity
alvarotrigo,pagePiling.js,4.1k,https://github.com/alvarotrigo/pagePiling.js
oblac,jodd,4k,https://github.com/oblac/jodd
rmm5t,jquery-timeago,3.8k,https://github.com/rmm5t/jquery-timeago
gijsroge,tilt.js,3.8k,https://github.com/gijsroge/tilt.js
surveyjs,survey-library,3.7k,https://github.com/surveyjs/survey-library
flesler,jquery.scrollTo,3.7k,https://github.com/flesler/jquery.scrollTo
jschr,textillate,3.6k,https://github.com/jschr/textillate
sciactive,pnotify,3.6k,https://github.com/sciactive/pnotify
xdan,datetimepicker,3.5k,https://github.com/xdan/datetimepicker
aui,artDialog,3.1k,https://github.com/aui/artDialog
liabru,jquery-match-height,3.1k,https://github.com/liabru/jquery-match-height
coffe1891,frontend-hard-mode-interview,3.1k,https://github.com/coffe1891/frontend-hard-mode-interview
ded,reqwest,2.9k,https://github.com/ded/reqwest
leafo,sticky-kit,2.9k,https://github.com/leafo/sticky-kit
artberri,sidr,2.9k,https://github.com/artberri/sidr
dabeng,OrgChart,2.7k,https://github.com/dabeng/OrgChart
humaan,Modaal,2.7k,https://github.com/humaan/Modaal
modoboa,modoboa,2.7k,https://github.com/modoboa/modoboa
nas5w,100-days-of-code-frontend,2.6k,https://github.com/nas5w/100-days-of-code-frontend
Mottie,tablesorter,2.6k,https://github.com/Mottie/tablesorter
kylefox,jquery-modal,2.6k,https://github.com/kylefox/jquery-modal
telerik,kendo-ui-core,2.5k,https://github.com/telerik/kendo-ui-core
dmotz,oriDomi,2.4k,https://github.com/dmotz/oriDomi
julmot,mark.js,2.3k,https://github.com/julmot/mark.js
macbre,phantomas,2.2k,https://github.com/macbre/phantomas
gawel,pyquery,2.2k,https://github.com/gawel/pyquery
swisnl,jQuery-contextMenu,2.2k,https://github.com/swisnl/jQuery-contextMenu
AudithSoftworks,Uniform,2.2k,https://github.com/AudithSoftworks/Uniform
abouolia,sticky-sidebar,2.2k,https://github.com/abouolia/sticky-sidebar
