Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
facebook,react-native,112k,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105k,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
google,material-design-icons,48.7k,https://github.com/google/material-design-icons
Solido,awesome-flutter,48.7k,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,44.1k,https://github.com/vsouza/awesome-ios
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
ultralytics,yolov5,42.1k,https://github.com/ultralytics/yolov5
dcloudio,uni-app,38.7k,https://github.com/dcloudio/uni-app
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
dkhamsing,open-source-ios-apps,36.6k,https://github.com/dkhamsing/open-source-ios-apps
appwrite,appwrite,36.6k,https://github.com/appwrite/appwrite
SheetJS,sheetjs,33.6k,https://github.com/SheetJS/sheetjs
xitu,gold-miner,32.8k,https://github.com/xitu/gold-miner
bilibili,ijkplayer,31.7k,https://github.com/bilibili/ijkplayer
SDWebImage,SDWebImage,24.7k,https://github.com/SDWebImage/SDWebImage
airbnb,lottie-ios,24.5k,https://github.com/airbnb/lottie-ios
quasarframework,quasar,24.4k,https://github.com/quasarframework/quasar
react-native-elements,react-native-elements,24k,https://github.com/react-native-elements/react-native-elements
expo,expo,23.7k,https://github.com/expo/expo
matteocrippa,awesome-swift,23.7k,https://github.com/matteocrippa/awesome-swift
ReactiveX,RxSwift,23.6k,https://github.com/ReactiveX/RxSwift
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
onevcat,Kingfisher,21.7k,https://github.com/onevcat/Kingfisher
utmapp,UTM,21.6k,https://github.com/utmapp/UTM
HeroTransitions,Hero,21.6k,https://github.com/HeroTransitions/Hero
fyne-io,fyne,21.5k,https://github.com/fyne-io/fyne
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
GeekyAnts,NativeBase,19.7k,https://github.com/GeekyAnts/NativeBase
didi,DoKit,19.7k,https://github.com/didi/DoKit
iampawan,FlutterExampleApps,19.2k,https://github.com/iampawan/FlutterExampleApps
CodeEditApp,CodeEdit,19.1k,https://github.com/CodeEditApp/CodeEdit
alibaba,weex,18.2k,https://github.com/alibaba/weex
Tencent,ncnn,18k,https://github.com/Tencent/ncnn
framework7io,framework7,17.5k,https://github.com/framework7io/framework7
cocos2d,cocos2d-x,17.5k,https://github.com/cocos2d/cocos2d-x
flutter,plugins,17.1k,https://github.com/flutter/plugins
appium,appium,17k,https://github.com/appium/appium
xbmc,xbmc,16.4k,https://github.com/xbmc/xbmc
kivy,kivy,16.3k,https://github.com/kivy/kivy
ustbhuangyi,better-scroll,16.2k,https://github.com/ustbhuangyi/better-scroll
Tencent,MMKV,16.2k,https://github.com/Tencent/MMKV
realm,realm-swift,16k,https://github.com/realm/realm-swift
ish-app,ish,14.9k,https://github.com/ish-app/ish
CocoaPods,CocoaPods,14.3k,https://github.com/CocoaPods/CocoaPods
CarGuo,gsy_github_app_flutter,14.2k,https://github.com/CarGuo/gsy_github_app_flutter
DioxusLabs,dioxus,14.2k,https://github.com/DioxusLabs/dioxus
txthinking,brook,13.9k,https://github.com/txthinking/brook
dcloudio,mui,13.5k,https://github.com/dcloudio/mui
SwifterSwift,SwifterSwift,13.2k,https://github.com/SwifterSwift/SwifterSwift
expo,create-react-native-app,13.2k,https://github.com/expo/create-react-native-app
CocoaLumberjack,CocoaLumberjack,13k,https://github.com/CocoaLumberjack/CocoaLumberjack
Instagram,IGListKit,12.7k,https://github.com/Instagram/IGListKit
SVProgressHUD,SVProgressHUD,12.4k,https://github.com/SVProgressHUD/SVProgressHUD
halfrost,Halfrost-Field,12.4k,https://github.com/halfrost/Halfrost-Field
Juanpe,SkeletonView,12.2k,https://github.com/Juanpe/SkeletonView
CosmicMind,Material,12k,https://github.com/CosmicMind/Material
xmartlabs,Eureka,11.7k,https://github.com/xmartlabs/Eureka
Tim9Liu9,TimLiu-iOS,11.5k,https://github.com/Tim9Liu9/TimLiu-iOS
jessesquires,JSQMessagesViewController,11.2k,https://github.com/jessesquires/JSQMessagesViewController
invertase,react-native-firebase,11.1k,https://github.com/invertase/react-native-firebase
Ramotion,animated-tab-bar,11.1k,https://github.com/Ramotion/animated-tab-bar
futurice,ios-good-practices,10.8k,https://github.com/futurice/ios-good-practices
OWASP,owasp-mastg,10.7k,https://github.com/OWASP/owasp-mastg
mono,mono,10.6k,https://github.com/mono/mono
wix,Detox,10.6k,https://github.com/wix/Detox
ninjaprox,NVActivityIndicatorView,10.5k,https://github.com/ninjaprox/NVActivityIndicatorView
WenchaoD,FSCalendar,10.4k,https://github.com/WenchaoD/FSCalendar
TonnyL,Awesome_APIs,10.2k,https://github.com/TonnyL/Awesome_APIs
Ramotion,folding-cell,10.2k,https://github.com/Ramotion/folding-cell
AudioKit,AudioKit,10.1k,https://github.com/AudioKit/AudioKit
ionic-team,capacitor,10k,https://github.com/ionic-team/capacitor
therecipe,qt,10k,https://github.com/therecipe/qt
Tencent,wcdb,9.8k,https://github.com/Tencent/wcdb
Quick,Quick,9.7k,https://github.com/Quick/Quick
openframeworks,openFrameworks,9.5k,https://github.com/openframeworks/openFrameworks
mac-cain13,R.swift,9.3k,https://github.com/mac-cain13/R.swift
devhubapp,devhub,9.2k,https://github.com/devhubapp/devhub
mvt-project,mvt,9.2k,https://github.com/mvt-project/mvt
didi,chameleon,9k,https://github.com/didi/chameleon
SwiftGen,SwiftGen,8.9k,https://github.com/SwiftGen/SwiftGen
wix,react-native-calendars,8.8k,https://github.com/wix/react-native-calendars
OnsenUI,OnsenUI,8.7k,https://github.com/OnsenUI/OnsenUI
IBAnimatable,IBAnimatable,8.7k,https://github.com/IBAnimatable/IBAnimatable
facebook,buck,8.6k,https://github.com/facebook/buck
GeekyAnts,vue-native-core,8.3k,https://github.com/GeekyAnts/vue-native-core
kaina404,FlutterDouBan,8.2k,https://github.com/kaina404/FlutterDouBan
kickstarter,ios-oss,8.2k,https://github.com/kickstarter/ios-oss
draveness,analyze,8.1k,https://github.com/draveness/analyze
Jigsaw-Code,outline-client,7.8k,https://github.com/Jigsaw-Code/outline-client
soapyigu,Swift-30-Projects,7.8k,https://github.com/soapyigu/Swift-30-Projects
olucurious,Awesome-ARKit,7.7k,https://github.com/olucurious/Awesome-ARKit
reactiveui,ReactiveUI,7.7k,https://github.com/reactiveui/ReactiveUI
PureLayout,PureLayout,7.6k,https://github.com/PureLayout/PureLayout
Tencent,Hippy,7.6k,https://github.com/Tencent/Hippy
uber,RIBs,7.5k,https://github.com/uber/RIBs
VirgilClyne,iRingo,7.5k,https://github.com/VirgilClyne/iRingo
patchthecode,JTAppleCalendar,7.4k,https://github.com/patchthecode/JTAppleCalendar
