Username,Repository,Stars,Repo URL
gchq,CyberChef,22.7k,https://github.com/gchq/CyberChef
pydantic,pydantic,15.9k,https://github.com/pydantic/pydantic
antlr,antlr4,15.3k,https://github.com/antlr/antlr4
tree-sitter,tree-sitter,13.3k,https://github.com/tree-sitter/tree-sitter
soxoj,maigret,9.1k,https://github.com/soxoj/maigret
DoctorWkt,acwj,8.9k,https://github.com/DoctorWkt/acwj
jquery,esprima,6.9k,https://github.com/jquery/esprima
marmelroy,PhoneNumberKit,4.9k,https://github.com/marmelroy/PhoneNumberKit
Leonidas-from-XIV,node-xml2js,4.7k,https://github.com/Leonidas-from-XIV/node-xml2js
estree,estree,4.7k,https://github.com/estree/estree
ohmjs,ohm,4.5k,https://github.com/ohmjs/ohm
pest-parser,pest,4k,https://github.com/pest-parser/pest
troessner,reek,3.9k,https://github.com/troessner/reek
lief-project,LIEF,3.9k,https://github.com/lief-project/LIEF
SBJson,SBJson,3.7k,https://github.com/SBJson/SBJson
fabian-hiller,valibot,3.7k,https://github.com/fabian-hiller/valibot
google,wuffs,3.5k,https://github.com/google/wuffs
kach,nearley,3.5k,https://github.com/kach/nearley
timofurrer,maya,3.4k,https://github.com/timofurrer/maya
zserge,jsmn,3.4k,https://github.com/zserge/jsmn
Knetic,govaluate,3.3k,https://github.com/Knetic/govaluate
dotnet,command-line-api,3.2k,https://github.com/dotnet/command-line-api
Jeffail,gabs,3.1k,https://github.com/Jeffail/gabs
zesterer,chumsky,2.9k,https://github.com/zesterer/chumsky
mono,CppSharp,2.8k,https://github.com/mono/CppSharp
curl,trurl,2.7k,https://github.com/curl/trurl
arktypeio,arktype,2.6k,https://github.com/arktypeio/arktype
maciejhirsz,logos,2.3k,https://github.com/maciejhirsz/logos
Chevrotain,chevrotain,2.3k,https://github.com/Chevrotain/chevrotain
comby-tools,comby,2.2k,https://github.com/comby-tools/comby
dateutil,dateutil,2.1k,https://github.com/dateutil/dateutil
sjdirect,abot,2.1k,https://github.com/sjdirect/abot
johnxnguyen,Down,2.1k,https://github.com/johnxnguyen/Down
taylorhakes,fecha,2k,https://github.com/taylorhakes/fecha
